Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
36,"CYBER CRIME (INFORMATION TECHNOLOGY
ACT)",,,,
,"Information Technology Act 2000, 2009",72,1930,10,11
,CSAM (Child Pornography). Cyber Tip Line,15,0,1,3
,Online Money Transfer,634,15,105,107
,Credit Card Fraud,377,10,57,72
,Loan App,104,4,19,15
,"Ransomeware Attack, Installing Spyware &
Troman, Using Other Malware & Viruses to infect
degital serv",3,0,0,0
,"Gifts, iPhone & Lottery Fraud",72,3,7,12
,Deep Fake/Deep Nudes,16,0,3,1
,"Investment Fraud (Part Time Job, Task, Review)",1528,7,262,243
,Card Skimming,5,0,0,0
,Job Fraud,330,7,53,57
,Hacking of Accounts & Ids,90,1,20,20
,Business Fraud,70,2,8,11
,Phishing (Taking Password & Information),24,0,1,3
,Email Spoofing / Fraud,22,0,1,2
,SIM card Swapping / SIM Jacking / SIM Cloning,5,1,3,1
,"Social Media Cases
(Instagram/Facebook/Whatsapp/X /Telegram etc)",265,7,69,47
,"Crypto Currency, Bitcoin, etc.",51,0,6,5
,Remote Access Fraud (Any Desk/ Team Viewer),4,0,1,1
,OLX Fraud,94,0,16,10
,Data Theft,30,2,3,3
,Fedex,27,3,3,3
,Matrimony Fraud,54,1,10,10
,"OTP Frauds (KYC Update, Apk Link)",338,7,45,59
,Sextortion and Revenge Porn,57,0,7,11
,Advertising Frauds,23,0,3,3
,Investment Fraud (Trading & Share Trading),1742,18,265,295
,Fake Customer Care,153,1,27,24
,ATM Fraud,10,0,0,1
,Digital Arrest,168,2,27,21
,AEPS (Aadhaar),0,0,0,0
,Others,910,38,162,195
,Sub Total,7293,2059,1194,1246
37,NATIONAL SECURITY ACT,0,0,0,0
38,POCSO,,,,
,Custodial Rape,2,0,1,0
,Gang Rape,1,0,0,0
,Rape with Murder,9,1,5,0
,Rape,1533,265,273,204
,Others,607,76,95,105
,Sub Total,2152,342,374,309
39,Aadhar Act,,,,
,Offence by Company,0,0,0,0
,Impersonation,0,0,0,0
,Offence by Individual,0,0,0,0
,Sub Total,0,0,0,0
,Total (Item 1 to 36),32321,5113,5392,6800
