Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
46,"OFFENCES AGAINST PUBLIC SERVANTS (Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC/217-223,121(1),121(2), 132 BNS)",,,,
,Attempt to Commit,17,1,1,2
,Defence Personnel,2,0,0,0
,Jail Personnel,10,2,1,0
,Judicial Official,20,0,1,2
,Minister,0,0,0,0
,MLA,0,0,0,0
,MP,0,0,0,0
,Nationalised Bank Personnel,3,0,0,1
,Other Elected Member,4,0,0,0
,Other Enforcement Official,1,1,0,0
,Other Govt. Official,394,33,50,34
,Para Military Personnel,2,2,0,0
,Police Personnel,430,34,40,41
,Public Sector Undertaking Official,109,15,6,8
,Sub Total,992,88,99,88
47,"OFFENCES BY PUBLIC SERVANTS (EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 129, 167, 218, 221, 222
IPC/156,157,201,256,259,260 BNS)",,,,
,Defence Personnel,0,0,0,0
,Jail Personnel,0,0,0,0
,Judicial Official,0,0,0,0
,Minister,0,0,0,0
,MLA,0,0,0,0
,MP,0,0,0,0
,Nationalised Bank Personnel,0,0,0,0
,Other Elected Member,0,0,0,0
,Other Enforcement Official,0,0,0,0
,Other Govt. Official,0,1,0,0
,Para Military Personnel,0,0,0,0
,Police Personnel,1,0,1,0
,Public Sector Undertaking Official,2,0,0,0
,Others,0,0,0,0
,Sub Total,3,1,1,0
48,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338
except 283 IPC/282 to 291,125 to 125(b) except
285 BNS)",,,,
,Animal -Related,50,6,6,5
,Boat/Vessel - Related,1,1,0,0
,Explosive/Explosive Substances - Related,32,25,1,17
,Inflammable Substance- Related,17,4,2,1
,Machinery - Related,95,11,5,5
,Poisonous Substance - Related,11,0,0,1
,Other - Related,1361,80,168,219
,Human - Related,925,46,96,66
,Wheeling,140,0,8,12
,Drink & Drive Without DL,53,0,12,4
,Death Causeed By Electric Shock,73,9,3,8
,Defective Silencer,10,0,2,0
,Footpath Riding,6,0,3,1
,Racing & Trials of Speed,1,0,0,0
,Rash & Negligence/Dangerous Driving,541,0,144,151
,Sub Total,3316,182,450,490
49,"RECEIVING OF STOLEN PROPERTY (Sec.411 to
414 IPC/317(2) TO 317(5) BNS)",2,0,0,0
50,SEDITION (Sec. 124A IPC/IN BNS Deleted),,,,
,Attempt to Commit,0,0,0,0
,By Foreigner,0,0,0,0
,By National,0,0,0,0
,By National And Foreigner,0,0,0,0
,Sub Total,0,0,0,0
51,"INSULTING MODESTY OF WOMEN (EVE
TEASING) (Sec.509 IPC/79 BNS)",,,,
,Attempt to Commit,10,0,1,1
,Office,13,2,0,2
,Public Conveyance,10,0,3,1
,Public Place,117,5,15,13
,Other Places,183,11,18,17
,Sub Total,333,18,37,34
