"Comparitive Crime Statement 17 for the Years 2024, 2025, and 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2024,,,,,,,,,,,,,2025,,,,,,,,,,,,,2026 As on 28/02/2026,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-I (IPC/BNS Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murder,1202,58,22,1122,0,13,50,3,972,22,24,2,36,1209,28,20,1161,0,3,3,0,931,193,3,1,27,173,0,2,171,0,0,0,0,0,171,0,0,
Attempt to murder,2716,149,13,2554,0,17,135,10,2272,68,19,18,15,3219,102,7,3110,0,3,24,0,2067,993,5,15,3,573,0,2,571,0,0,0,0,4,567,0,0,
C.H.Not Amounting to murder,134,9,0,125,0,5,4,0,93,5,1,2,15,132,3,1,128,0,0,1,0,77,38,0,2,10,8,0,0,8,0,0,0,0,0,8,0,0,
Dacoity,150,12,4,134,0,1,0,0,118,4,10,1,0,141,2,1,138,0,0,0,0,90,46,1,1,0,20,0,0,20,0,0,0,0,0,20,0,0,
Preparation And Assembly For Dacoity,120,0,0,120,0,0,1,0,117,2,0,0,0,65,0,0,65,0,0,0,0,59,6,0,0,0,6,0,0,6,0,0,0,0,0,6,0,0,
Robbery,985,37,10,938,0,8,14,4,695,21,192,4,0,620,25,6,589,0,0,1,0,293,267,27,1,0,117,1,0,116,0,0,0,0,2,114,0,0,
Chain Snatching,619,9,7,603,0,5,8,1,409,22,156,2,0,461,8,0,453,0,2,2,0,245,184,20,0,0,60,0,0,60,0,0,0,0,1,59,0,0,
H.B.T by day,1132,40,0,1092,0,7,14,1,493,49,524,2,2,1103,17,0,1086,0,2,3,0,351,493,236,1,0,175,0,0,175,0,0,0,0,1,174,0,0,
H.B.T by night,4330,40,2,4288,0,16,40,3,1667,129,2426,5,2,3911,22,1,3888,0,3,4,1,939,1813,1127,0,1,646,2,0,644,0,0,0,0,6,637,1,0,
House theft,1927,101,8,1818,0,9,15,8,584,35,1164,3,0,1930,85,2,1843,0,1,6,4,404,681,746,1,0,343,3,0,340,0,0,0,0,7,333,0,0,
Snatching (Sec 304 BNS),236,4,5,227,0,0,1,0,98,6,122,0,0,547,4,2,541,0,0,1,1,199,176,164,0,0,81,0,1,80,0,0,0,0,0,80,0,0,
Ordinary Theft,20165,864,324,18977,0,537,269,1976,4370,198,11491,114,22,17506,571,129,16806,0,208,55,773,3974,4902,6855,36,3,2862,18,2,2842,0,0,0,1,94,2743,4,0,
Cattle thefts,505,6,2,497,0,12,8,38,222,8,205,4,0,545,11,0,534,0,5,1,15,145,199,166,3,0,96,0,0,96,0,0,0,0,3,93,0,0,
Receiving stolen Property,2,0,0,2,0,1,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cheating,6559,1895,120,4544,0,11,24,67,2123,1534,663,116,6,5840,659,69,5112,0,12,2,15,997,3815,234,35,2,949,0,2,947,0,0,0,0,10,937,0,0,
Cr.Br.Trust,564,142,14,408,0,0,1,2,225,152,16,10,2,761,85,6,670,0,0,0,1,111,537,13,7,1,151,0,0,151,0,0,0,0,0,151,0,0,
C.C.Notes,30,0,0,30,0,0,0,0,17,4,9,0,0,30,0,1,29,0,0,0,0,13,11,5,0,0,4,0,0,4,0,0,0,0,0,4,0,0,
Sub Total - PART-I,41376,3366,531,37479,0,642,584,2113,14476,2259,17022,283,100,38022,1623,245,36154,0,239,103,810,10896,14354,9602,103,47,6264,24,9,6231,0,0,0,1,128,6097,5,0,
PART-II (IPC/BNS Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"304(A),IPC/ 106 BNS (Including Deaths due to
Rashness/Negligence (Sec 304(A)IPC/106
BNS)",12030,125,16,11889,0,513,523,11,8445,42,924,20,1411,11861,68,16,11777,0,176,47,1,7794,2419,439,11,890,2018,1,1,2016,0,2,0,0,57,1948,0,1,
"279,337,338IPC/281,125(a),125(b)BNS",31408,221,14,31173,0,18796,437,323,10119,40,1277,103,78,31617,151,19,31447,0,9934,78,72,16308,4109,874,39,33,5503,4,0,5499,0,12,0,1,315,5169,2,0,
Rioting,3471,353,4,3114,0,21,251,40,2691,73,31,5,2,3398,224,2,3172,0,6,34,7,2072,1037,10,6,0,586,4,1,581,0,0,0,0,12,569,0,0,
Hurts,17141,1325,31,15785,0,180,1632,387,12985,181,311,80,29,16720,822,20,15878,1,40,238,129,11778,3490,175,24,4,2864,16,2,2846,0,0,0,0,201,2645,0,0,
AcidAttack (326(a)IPC/124(1) BNS),8,1,0,7,0,0,0,0,7,0,0,0,0,6,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kidnapping,3952,3547,38,367,0,1,25,1,213,102,18,7,0,4100,3338,28,734,0,0,5,0,144,571,5,7,1,783,150,1,632,0,0,0,0,1,631,0,0,
304(B) IPC/80 BNS,112,0,2,110,0,0,7,0,102,1,0,0,0,114,3,1,110,0,0,0,0,92,17,0,0,1,17,0,0,17,0,0,0,0,0,17,0,0,
498 (A) IPC/85 BNS,2894,267,59,2568,0,8,302,11,2135,61,1,32,18,2768,192,24,2552,0,1,41,4,1910,587,0,7,2,450,3,0,447,0,0,0,0,17,430,0,0,
Molestation (354 IPC/74 BNS),6333,712,33,5588,1,27,439,44,4816,141,74,36,11,5852,478,17,5357,0,3,31,8,3746,1526,27,12,4,1029,5,3,1021,0,0,0,0,21,999,0,1,
Rape,720,55,54,611,0,3,56,1,499,30,1,20,1,678,36,33,609,0,0,8,1,465,121,1,13,0,86,0,1,85,0,0,0,0,1,84,0,0,
"Sexual Intercourse by employing deceitful
means",12,1,0,11,0,0,0,0,6,4,0,1,0,251,17,9,225,0,0,0,0,114,101,0,10,0,80,0,1,79,0,0,0,0,0,79,0,0,
353 IPC/132 BNS,976,38,3,935,0,15,18,1,815,52,17,12,5,1164,30,6,1128,0,10,1,2,749,353,6,5,2,162,0,1,161,0,0,0,0,4,157,0,0,
