DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF FEBRUARY - 2026 (AS ON 02/03/2026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
ag
B","ari
all
B","City
avi
ag
el
B","Dist
avi
ag
el
B","city
u
ur
al
ng
e
B","District
u
ur
al
ng
e
B","h
ut
o
S
u
ur
al
ng
e
B","ar
d
Bi","ar
ag
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
ag
m
a
kk
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
ag
n
a
av
D","d
a
w
ar
h
D","ag
d
a
G","n
a
ass
H","eri
av
H","d
a
w
ar
D h City
alli
b
b
u
H","G.F
K.","agi
ur
b
a
al
K","City
agi
ur
b
a
al
K","ays
w
ail
R
a
k
a
at
n
ar
K","u
ag
d
o
K","ar
ol
K","al
p
p
o
K","a
dy
n
a
M","City
u
or
o
al
ng
a
M","City
u
ur
Mys","District
u
ur
Mys","ur
h
aic
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
ag
n
a
ay
Vij","ur
p
a
ay
Vij","dgir
a
Y","al
ot
T"
1,MURDER,4,0,1,2,15,4,3,1,1,1,1,1,1,2,1,2,2,0,1,0,1,2,0,0,2,1,2,2,0,1,0,4,3,0,4,1,4,3,73
2,DACOITY,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,2,0,0,2,0,0,14
3,ROBBERY,1,2,0,2,19,3,1,2,0,1,4,0,2,0,0,0,0,1,2,0,2,1,1,0,0,0,0,1,0,0,1,1,4,0,0,0,1,1,53
3a,CHAIN SNATCHING,0,2,1,1,2,3,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,3,0,2,3,3,2,0,0,0,33
4a,BURGLARY - DAY,3,4,1,2,13,2,4,1,1,1,3,0,0,1,2,1,10,0,2,4,0,0,0,0,0,2,6,1,0,1,1,6,5,0,3,0,7,2,89
4b,BURGLARY - NIGHT,4,6,8,25,57,14,15,12,2,5,7,1,6,9,3,5,7,6,1,3,7,4,0,2,1,2,9,0,7,7,9,9,16,1,5,2,11,3,291
5,THEFT,14,62,18,68,613,66,27,20,7,9,14,26,21,38,10,10,19,31,5,6,31,15,30,13,18,16,28,18,22,37,83,42,60,18,9,13,29,29,1595
5a,SNATCHING,0,0,2,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,42
6,RIOTS,9,6,3,37,2,3,2,3,6,9,3,16,1,18,7,6,0,10,3,0,10,4,0,1,11,4,2,0,0,17,15,18,3,3,4,9,14,9,268
7,CASES OF HURT,7,20,9,80,303,50,28,45,21,33,46,51,12,29,10,5,68,21,14,10,30,14,0,26,21,11,67,15,33,56,14,90,80,12,27,10,38,12,1418
8,Spl & Local laws,89,88,90,244,1631,52,68,145,44,119,141,149,41,120,56,73,152,65,68,34,48,69,19,64,46,131,187,113,65,160,232,156,131,43,104,71,89,107,5304
9a,"RAPE (Sec.376,
376(A) to 376 (D)",0,0,0,4,14,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,3,1,1,0,1,2,0,0,41
9b,DOWRY DEATHS,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5
10,POCSO,7,4,3,24,53,9,4,5,4,17,8,7,2,9,2,0,10,12,5,1,5,1,0,13,8,5,9,3,2,14,9,12,9,4,6,4,4,47,341
11,SC ST & POA Act,1,4,1,12,17,5,3,2,1,7,9,4,1,6,7,5,8,5,2,0,4,2,0,3,4,6,7,2,1,15,14,14,14,4,5,1,6,1,203
12a,"107 Cr.P.C./126
BNSS",223,13,63,141,55,13,16,62,28,18,69,42,9,19,55,45,45,20,11,17,25,29,1,13,5,44,14,50,13,27,13,32,32,17,73,28,52,90,1522
12b,"109 Cr.P.C/128
BNSS",2,7,7,13,93,6,4,5,0,1,4,3,0,16,0,2,7,2,1,2,0,3,31,0,0,4,7,0,2,4,9,0,19,0,6,2,7,3,272
12c,"110 Cr.P.C/129
BNSS",0,2,9,6,442,7,227,11,11,55,6,0,0,4,0,1,55,0,2,136,2,6,12,0,1,1,11,23,25,2,5,1,186,2,1,19,17,73,1361
13,"CYBER CRIME
(INFORMATION",6,6,10,14,694,18,23,2,1,20,13,8,16,6,7,5,7,9,17,8,4,5,1,6,2,3,11,11,11,9,2,13,9,15,6,1,26,3,1028
14a,Cr. Br. of Trust,1,2,0,5,45,3,3,4,1,0,1,1,0,1,0,1,1,3,1,0,0,0,0,1,1,0,0,5,8,1,1,1,0,2,0,0,0,0,93
14b,CHEATING,4,13,7,9,262,25,9,6,5,10,5,15,4,4,4,8,9,4,4,4,3,6,0,6,7,4,11,8,11,7,6,5,17,11,8,1,12,4,538
14c,COUNTERFEITING,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
15,KMMC,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15a,MMDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Motor vehicles
Theft Cases",4,28,13,29,330,37,14,12,1,1,3,9,2,15,2,4,6,8,1,1,5,9,8,1,7,5,10,7,16,19,10,14,25,6,3,3,14,2,684
17,NDPS Cases,1,5,23,14,441,4,4,1,3,2,38,3,9,25,3,1,19,3,8,5,3,19,12,31,9,4,20,66,33,46,29,52,13,6,19,1,2,3,980
