Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
44,"PUBLIC SAFETY (Sec.269 to 271, 277, 283, 289
IPC)",8471,612,320,343
45,"OFFENCES AGAINST PUBLIC SERVANTS (Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC)",,,,
,Attempt to Commit,8,1,0,0
,Defence Personnel,2,0,0,0
,Jail Personnel,9,0,1,0
,Judicial Official,7,1,1,2
,Minister,0,0,0,0
,MLA,2,1,0,0
,MP,0,0,0,0
,Nationalised Bank Personnel,1,1,0,0
,Other Elected Member,4,0,0,0
,Other Enforcement Official,6,0,0,1
,Other Govt. Official,419,38,51,41
,Para Military Personnel,1,0,0,0
,Police Personnel,375,27,37,41
,Public Sector Undertaking Official,88,8,8,11
,Sub Total,922,77,98,96
46,"OFFENCES BY PUBLIC SERVANTS (EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC)",,,,
,Defence Personnel,0,0,0,0
,Jail Personnel,0,0,0,0
,Judicial Official,0,0,0,0
,Minister,0,0,0,0
,MLA,0,0,0,0
,MP,0,0,0,0
,Nationalised Bank Personnel,0,0,0,0
,Other Elected Member,0,0,0,0
,Other Enforcement Official,0,0,0,0
,Other Govt. Official,3,0,0,0
,Para Military Personnel,0,0,0,0
,Police Personnel,0,0,0,0
,Public Sector Undertaking Official,0,0,0,0
,Others,2,0,0,0
,Sub Total,5,0,0,0
47,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338
except 283 IPC)",,,,
,Death Causeed By Electric Shock,79,11,9,5
,Animal -Related,59,3,6,6
,Boat/Vessel - Related,0,0,0,0
,Explosive/Explosive Substances - Related,82,1,17,51
,Inflammable Substance- Related,14,1,5,1
,Machinery - Related,125,8,12,11
,Poisonous Substance - Related,10,1,1,1
,Other - Related,814,40,63,84
,Human - Related,609,22,46,48
,Sub Total,1792,87,159,207
48,"RECEIVING OF STOLEN PROPERTY (Sec.411 to
414 IPC)",1,0,0,0
49,SEDITION (Sec. 124A IPC),,,,
,Attempt to Commit,0,0,0,0
,By Foreigner,0,0,0,0
,By National,0,0,0,0
,By National And Foreigner,0,0,0,0
,Sub Total,0,0,0,0
