S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,163,163,0,
2,Ballari,151,116,35,
3,Belagavi City,229,191,38,
4,Belagavi Dist,282,196,86,
5,Bengaluru City,"3,178","2,436",742,
6,Bengaluru Dist,230,72,158,
7,Bidar,197,96,101,
8,Chamarajanagar,110,75,35,
9,Chickballapura,125,99,26,
10,Chikkamagaluru,196,120,76,
11,Chitradurga,198,101,97,
12,Coastal Security Police,56,23,33,
13,Dakshina Kannada,155,151,4,
14,Davanagere,187,87,100,
15,Dharwad,109,108,1,
16,Gadag,136,86,50,
17,Hassan,199,199,0,
18,Haveri,162,69,93,
19,Hubballi Dharwad City,245,95,150,
20,K.G.F,84,50,34,
21,Kalaburagi,208,74,134,
22,Kalaburagi City,174,71,103,
23,Karnataka Railways,94,83,11,
24,Kodagu,150,112,38,
25,Kolar,163,90,73,
26,Koppal,159,157,2,
27,Mandya,200,106,94,
28,Mangaluru City,220,93,127,
29,Mysuru City,251,98,153,
30,Mysuru Dist,167,99,68,
31,Raichur,176,145,31,
32,Ramanagara,161,81,80,
33,Shivamogga,201,178,23,
34,Tumakuru,268,97,171,
35,Udupi,146,122,24,
,,,,,
