S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,235,235,0,
37,Vijayanagara,148,148,0,
38,Vijayapur,218,217,1,
39,Yadgir,150,131,19,
40,Forest Cell,38,29,9,
41,CID,218,122,96,
42,ISD Bengaluru,82,75,7,
43,State INT,697,562,135,
44,APTS Yelahanka,20,15,5,
45,Battalion I - Bangalore,71,58,13,
46,Battalion II - Belgaum,36,30,6,
47,Battalion III - Bangalore,53,52,1,
48,Battalion IV - Bangalore,46,33,13,
49,Battalion IX - Bangalore,40,36,4,
50,Battalion V - Mysore,42,42,0,
51,Battalion VI - Gulbarga,41,36,5,
52,Battalion VII - Mangalore,36,36,0,
53,Battalion VIII - Shimoga,43,43,0,
54,Battalion X - Haveri,43,40,3,
55,Battalion XI - Hassan,47,47,0,
56,Battalion XII Tumakuru,40,40,0,
57,Central Range,4,1,3,
58,Centre for Counter Terrorism,43,35,8,
59,Chief Office,125,45,80,
60,COMMANDANT MOUNTED,KARP 19,19,0,
61,Eastern Range,5,3,2,
62,FPB Unit,19,5,14,
63,FSL Madiwala,24,7,17,
64,I.R.B. Vijayapura,40,14,26,
65,IGP TRAINING,8,8,0,
66,IIIrd BN KSISF,27,26,1,
67,IInd BN KSISF,25,24,1,
68,IRB Munirabad,47,43,4,
69,ISD,123,121,2,
70,Ist BN KSISF,43,43,0,
71,Kalaburgi Range,6,3,3,
72,KPA Mysore,35,35,0,
73,KSPTS Channapatna,20,20,0,
74,KSPTS Khanapur,23,23,0,
,,,,,
