"Sl.
No.",C O N T E N T S,"Page
No."
1,"Crime Review on – 1) Murder 2) Dacoity 3) Robbery 4) Burglary
5) Theft 6) Riots 7) Hurt 8) Spl. & local laws 9) Crime against
Women 10) POCSO 11) SC & ST POA Act 12) Security cases
13) Cyber Crimes 14) Economic Offences & 15) MMDR & KMMCR
16) Motor Vehicles Theft Cases 17) NDPS Cases",1-17
2,"District-wise Reported cases under various heads for the month of
April – 2026",18
3,Crime Statistics – IPC/BNS Crimes,19-29
4,Crime Statistics – Special & Local laws,29-34
5,Crime Statistics – Crime against Women,35
6,Crime Statistics – Crime against Children,36
7,Crime Statistics – Crime against SC & ST,37
8,Crime Statistics – Road Accidents,38
9,Commissionerate & Range Wise IPC/BNS & SLL Cases,39
10,Commissionerate & Range Wise Major heads Cases,40 & 41
11,Unit-wise report on Receipts & Disposals under SAKALA services,42-43
12,Comparative Crime Statement – 17,44-45
13,e-Sign details – FIR & Chargesheet,46-47
14,Police IT MT Module log book details,48-50
15,Seva Sindhu – April month report,51
16,District Wise COTPA Statistics,52
