DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF APRIL - 2026 (AS ON 02/05/2026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
ag
B","ari
all
B","City
avi
ag
el
B","Dist
avi
ag
el
B","city
u
ur
al
ng
e
B","District
u
ur
al
ng
e
B","h
ut
o
S
u
ur
al
ng
e
B","ar
d
Bi","ar
ag
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
ag
m
a
kk
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
ag
n
a
av
D","d
a
w
ar
h
D","ag
d
a
G","n
a
ass
H","eri
av
H","d
a
w
ar
D h City
alli
b
b
u
H","G.F
K.","agi
ur
b
a
al
K","City
agi
ur
b
a
al
K","ays
w
ail
R
a
k
a
at
n
ar
K","u
ag
d
o
K","ar
ol
K","al
p
p
o
K","a
dy
n
a
M","City
u
or
o
al
ng
a
M","City
u
ur
Mys","District
u
ur
Mys","ur
h
aic
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
ag
n
a
ay
Vij","ur
p
a
ay
Vij","dgir
a
Y","al
ot
T"
1,MURDER,2,2,3,4,15,5,0,1,1,1,2,0,0,0,2,1,1,0,1,1,3,2,0,1,2,1,2,2,3,4,1,1,5,0,3,0,6,0,78
2,DACOITY,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7
3,ROBBERY,0,1,0,1,7,1,2,0,0,2,3,2,0,1,0,0,1,0,0,0,1,0,2,0,1,0,0,0,1,1,0,2,0,1,0,0,0,0,30
3a,CHAIN SNATCHING,0,0,0,1,19,2,1,0,0,0,1,1,2,2,0,1,0,1,2,0,0,0,1,0,2,2,1,2,1,3,0,6,1,0,0,0,0,0,52
4a,BURGLARY - DAY,3,0,1,0,15,7,4,2,2,3,2,2,1,3,0,0,3,1,2,0,2,0,0,0,2,1,1,0,1,1,1,1,4,1,1,1,6,0,74
4b,BURGLARY - NIGHT,6,10,6,13,70,18,8,11,1,0,8,4,5,9,2,2,8,12,4,1,5,7,0,6,4,3,11,2,6,16,3,15,15,5,8,8,6,5,323
5,THEFT,16,42,21,62,691,54,46,20,9,9,20,18,31,35,7,13,32,43,17,3,34,18,36,8,8,18,36,11,18,38,73,38,47,15,7,25,29,20,1668
5a,SNATCHING,0,0,1,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
6,RIOTS,10,14,11,44,5,6,2,9,4,10,3,29,9,16,7,11,7,14,2,1,18,1,0,0,10,8,0,0,0,6,18,9,3,2,10,13,18,12,342
7,CASES OF HURT,10,25,25,92,346,59,45,48,45,41,74,62,19,31,19,5,95,30,10,10,36,26,1,31,26,15,65,22,27,90,17,85,75,9,40,30,50,19,1755
