"Comparitive Crime Statement 17 for the Years 2021, 2022, and 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,,2023 As on 31/10/2023,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
41(1)(d) 102 Cr.P.C,84,3,9,72,0,7,0,6,34,0,0,25,0,80,2,16,62,0,7,1,2,32,6,0,12,2,42,0,4,38,0,1,0,0,14,21,0,2,
Other Cr.P.C,8,1,1,6,0,2,0,1,2,0,0,1,0,4,1,1,2,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,
Sub Total - PART-IV,95,4,10,81,0,10,0,7,37,0,0,26,0,86,3,17,66,0,9,1,2,34,6,0,12,2,45,0,4,41,0,1,0,0,15,23,0,2,
Grand Total,163910,9229,1004,153680,8,37805,8092,5563,76707,2520,20555,825,1612,180872,10188,1167,169518,5,32226,3729,4517,90241,11624,25144,657,1378,179303,5299,806,173198,0,16790,327,980,63497,82850,8090,178,
PART-V (Missing Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,UI,Tra,Untra,,,,,,,Rep,Fal,Tr,Tru,UI,Tra,Untra,,,,,,,Rep,Fal,Tr,Tru,UI,Tra,Untra,,,,,,
Missing Person,15159,182,17,14954,284,13858,812,,,,,,,17696,165,22,17504,1240,15871,393,,,,,,,17317,143,16,17155,3170,13980,5,,,,,,
PART-VI (PAR Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,UI,OD,BO,,,,,,,Rep,Fal,Tr,Tru,UI,OD,BO,,,,,,,Rep,Fal,Tr,Tru,UI,OD,BO,,,,,,
PAR (Cr.PC),22159,0,0,22159,7801,359,13999,,,,,,,41376,0,0,41376,15458,522,25396,,,,,,,45784,0,0,45784,26693,263,18828,,,,,,
