Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
5,CONSUMER,,,,
,Liquified Petroleum Gas Supply & Control Order 2000,37,7,3,4
,Consumer (Protection) Act 1986,6,2,1,3
,Essential Commodities Act 1955,392,65,66,77
,Prevention of Food Adulternation Act 1954,1,0,0,0
,Packaged Commodities (Regulation) order 1975,0,0,0,0
,Sub Total,436,74,70,84
6,COPY RIGHT ACT 1957,,,,
,By Company,55,6,14,11
,By Individual,25,7,7,2
,Sub Total,80,13,21,13
7,CIVIL RIGHTS,,,,
,Protection of Civil Rights Act 1955,1,0,0,0
,Sub Total,1,0,0,0
8,"SCHEDULED CASTE AND THE SCHEDULED
TRIBES",,,,
,Scheduled Caste,686,120,148,133
,Scheduled Tribes,144,18,33,30
,Scheduled Caste Women,259,32,49,56
,Scheduled Tribes Women,59,7,15,13
,Sub Total,1148,177,245,232
9,CHILDREN ACT,,,,
,Child Labour (Prohibition & Regulation) Act1986,25,4,3,2
,Child Marriage (Restraint) Act - 1929,74,24,13,21
,Juvenile Justice Act 1986,44,16,7,5
,Probation of offenders Act 1958,0,0,0,0
,"Protection of Children from Sexual Offences Act 2012
(POCSO)",0,0,0,0
,Sub Total,143,44,23,28
10,PREVENTION OF CORRUPTION ACT 1988,,,,
,Public Servant - Elected,1,0,0,0
,Public Servant - Gazetted - Central,0,0,0,0
,Public Servant - Gazetted - Defence,0,0,0,0
,Public Servant - Gazetted - Public Sector Undertaking,0,0,0,0
,Public Servant - Gazetted - State,0,1,0,0
,Public Servant - Non-Gazetted - Central,0,0,0,0
,Public Servant - Non-Gazetted - Defence,0,0,0,0
,Public Servant - Non-Gazetted - State,0,0,0,0
,Sub Total,1,1,0,0
11,CUSTOMS,,,,
,Customs Act 1962,0,0,0,0
,Import/Export (Control) Act 1947,0,0,0,0
,Sub Total,0,0,0,0
12,Explosives,,,,
,Explosives Substances Act 1908,21,1,3,4
,Explosives Act 1884,27,2,2,4
,Inflammable Substance Act 1952,0,0,0,0
,Sub Total,48,3,5,8
13,FOREIGN EXCHANGE,,,,
,"Smugglers and Foreign Exchange Manipulator Act
1976",0,0,0,0
,Foreign Exchange Regulation Act 1973,0,0,0,0
,Foreign Exchange Regulation Act 1952,0,0,0,0
,Sub Total,0,0,0,0
14,FOREIGNER,,,,
,Foreigners Act 1946,59,18,4,7
,Registration of Foreigners Act 1939,1,0,0,0
,Sub Total,60,18,4,7
15,FOREST,,,,
,Indian Forest Act 1927,1,0,0,0
,Forest (Conservation) Act 1980,3,1,0,1
,Sub Total,4,1,0,1
