Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
16,HIJACKING,,,,
,Foreign Aircraft - In India,0,0,0,0
,Foreign Aircraft - Outside India,0,0,0,0
,Indian Aircraft - In India,0,0,0,0
,Indian Aircraft - Outside India,0,0,0,0
,Sub Total,0,0,0,0
17,IMMORAL TRAFFIC,,,,
,Organised,184,16,16,20
,Un-Organised,67,7,7,7
,Sub Total,251,23,23,27
18,BONDED LABOUR SYSTEM,3,0,2,0
19,INDIAN MOTOR VEHICLE,306,1,16,10
20,"NARCOTIC DRUGS & PSYCHOTROPIC
SUBSTANCES ACT",,,,
,Cultivated/Processed,1240,82,140,110
,Synthetic,1871,143,199,164
,Sub Total,3111,225,339,274
21,PASSPORT ACT,,,,
,Foreigner,3,0,1,0
,Indian,1,0,0,0
,Sub Total,4,0,1,0
22,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,,,,
,Assembly,7,1,0,2
,Parliament,104,0,1,0
,Other Elected Bodies,10,0,0,0
,Sub Total,121,1,1,2
23,KARNATAKA POLICE ACT 1963,,,,
,Gambling - Matka (78 Class C),4076,556,345,407
,Street Gambling (87),4856,522,374,456
,House Gambling (79 & 80),223,18,19,29
,Betting,409,110,3,9
,Others,479,38,41,36
,Sub Total,10043,1244,782,937
24,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY
ACT 1984",136,13,8,9
25,"POST & TELEGRAPH, TELEGRAPH WIRES
(UNLAWFUL POSSESSION) ACT 1980",2,0,0,0
26,OFFICIAL SECURITY RELATED ACTS,,,,
,Official Secrets Act 1923,0,0,0,0
,Essential Services Maintenance Act 1981,0,0,0,0
,Sub Total,0,0,0,0
27,PREVENTION OF TERRORISM ACT (POTA),0,0,0,0
28,RAILWAYS ACT,,,,
,Indian Railways Act 1989,1,0,0,0
,Railway Property (Unlawful Possession) Act 1966,0,0,0,0
,Sub Total,1,0,0,0
29,UNLAWFUL ACTIVITIES (Prevention) Act 1967,5,0,1,0
30,CRIMES RELATED TO WOMEN,,,,
,Dowry Prohibition,1593,194,121,113
,Commission of SATI (Prevention) Act 1987,0,0,0,0
,"Indecent Representation of Women (Prohibition)
Act 1986",1,0,0,0
,Sub Total,1594,194,121,113
31,INDIAN LUNACY ACT,0,0,0,0
32,INDIAN ELECTRICITY ACT,6,4,0,0
33,"COTPA, CIGARETTES AND OTHER TOBACCO
PRODUCTS",784,70,76,45
34,KARNATAKA STATE LOCAL ACTS,,,,
,Disaster Management Act 2005,1,0,0,0
,Banning of Unregulated Deposit Schemes Act,17,0,0,3
,Prevention of Insult to National Hounours Act 1971,9,3,2,2
,"The Karnataka Prevention of Dangerous Activities
of Bootleggers, Drug-offenders, Gamblers, Goonda
Act",0,0,0,0
,Karnataka Cow Slaughters Act,208,17,21,17
