DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF MAY - 2025 (AS ON 02/06/2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"to
k
la
ga
B","ira
lla
B","ytiC
iva
ga
le
B","tsiD
iva
ga
le
B","ytic
u
ru
la
gn
e
B","tcirtsiD
u
ru
la
gn
e
B","ra
d
iB","ra
ga
n
a
ja
ra
m
a
h
C","a
ru
p
a
lla
b
k
cih
C","u
ru
la
ga
m
a
kk
ih
C","a
g
ru
d
a
rtih
C","a
d
a
n
n
a
k
a
n
ih
sk
a
D","e
re
ga
n
a
va
D","d
a
w
ra
h
D","ga
d
a
G","n
a
ssa
H","ire
va
H","ytiC
d
a
w
ra
h
D
illa
b
b
u
H","F.G
.K","iga
ru
b
a
la
K","ytiC
iga
ru
b
a
la
K","sya
w
lia
R
a
k
a
ta
n
ra
K","u
ga
d
o
K","ra
lo
K","la
p
p
o
K","a
yd
n
a
M","ytiC
u
ro
o
la
gn
a
M","ytiC
u
ru
syM","tcirtsiD
u
ru
syM","ru
h
cia
R","a
ra
ga
n
a
m
a
R","a
g
g
o
m
a
v
ih
S","u
ru
k
a
m
u
T","ip
u
d
U","a
d
a
n
n
a
k
a
ra
ttU","a
ra
ga
n
a
ya
jiV","ru
p
a
ya
jiV","rigd
a
Y","la
to
T"
1,MURDER,1,1,1,8,15,6,3,4,4,3,1,2,2,2,2,3,0,3,1,5,3,1,4,1,4,1,5,1,4,4,4,4,3,0,0,0,1,2,109
2,DACOITY,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,6
3,ROBBERY,0,0,0,2,28,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,1,3,1,1,0,0,1,0,47
3a,CHAIN SNATCHING,1,0,0,0,6,6,0,0,1,0,1,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,5,2,1,2,1,3,0,1,0,2,0,38
4a,BURGLARY - DAY,1,3,2,2,19,3,1,0,2,0,4,1,4,4,1,6,1,1,0,1,3,0,1,1,2,5,2,0,3,2,1,1,2,2,2,2,1,1,87
4b,BURGLARY - NIGHT,10,6,5,7,55,23,8,14,3,4,2,0,16,1,4,6,18,4,4,8,5,0,4,7,5,10,2,7,13,8,18,10,16,9,4,8,5,2,331
5,THEFT,21,19,24,27,662,119,22,18,22,16,30,7,31,6,8,32,50,17,8,45,27,61,11,13,17,31,18,21,38,48,32,37,53,21,13,24,26,11,1686
5a,SNATCHING,0,0,0,0,38,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
6,RIOTS,11,10,2,32,10,5,7,4,6,4,21,2,12,3,8,4,22,1,3,10,4,0,0,5,6,1,3,0,15,29,5,8,1,1,4,10,16,8,293
7,CASES OF HURT,23,17,15,40,270,49,51,32,35,47,49,10,30,7,12,90,20,3,20,42,21,0,21,28,13,43,14,25,67,31,30,76,55,12,25,18,39,14,1394
8,Spl & Local laws,65,195,26,188,1878,92,104,74,126,85,153,26,119,63,97,110,102,60,20,60,55,8,40,51,99,81,55,38,60,125,79,205,225,45,94,169,211,67,5350
9a,"RAPE (Sec.376,
376(A) to 376
(D) IPC/64 TO
71 BNS)",1,0,1,2,37,2,1,1,2,2,5,1,0,0,1,5,3,1,0,1,1,0,1,0,0,5,0,1,3,2,0,4,3,0,0,1,3,2,92
9b,DOWRY DEATHS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
10,POCSO,8,3,7,7,38,6,3,6,25,14,10,9,6,1,8,12,16,2,7,9,7,0,8,18,4,6,6,3,11,3,14,24,16,2,7,7,6,5,344
11,SC ST & POA Act,2,0,4,11,22,3,1,4,2,3,5,3,3,4,3,5,5,4,0,6,3,0,2,0,6,13,1,0,5,6,7,10,13,4,1,1,8,8,178
12a,107 Cr.P.C.,59,221,57,262,60,90,138,294,39,68,74,33,96,125,94,44,97,23,23,94,72,0,92,20,96,26,165,9,110,257,50,220,75,53,152,198,41,132,3759
12b,109 Cr.P.C.,7,3,0,6,67,9,3,2,9,5,6,0,9,2,8,10,13,1,4,2,6,27,3,4,6,3,2,2,16,4,6,4,55,4,8,4,3,6,329
12c,110 Cr.P.C.,9,161,3,27,700,338,15,18,114,21,50,11,8,3,4,200,146,59,198,5,2,0,18,88,4,86,27,66,104,11,420,105,123,152,284,39,37,11,3667
13,"CYBER CRIME
(INFORMATION
TECHNOLOGY ACT)",0,10,7,12,875,46,2,2,14,10,5,8,10,3,6,10,8,12,5,3,4,1,8,1,2,4,8,19,4,3,15,6,23,6,5,4,31,1,1193
14a,Cr. Br. of Trust,0,1,0,3,26,3,1,0,0,2,2,0,3,0,0,0,1,2,1,0,0,0,0,1,0,0,2,5,0,0,1,0,2,1,1,1,1,0,60
