Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 1 8,942,1260,322,1759,2081
2,State Highways,301,691,992,303,1402,1705
3,Other Roads,3 85,1389,1774,385,2091,2476
,TOTAL,1 004,3022,4026,1010,5252,6262
