Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Koppal District,267,259,97.00
2,Chikkamagaluru District,351,340,96.87
3,Kalaburagi City,365,346,94.79
4,Vijayapur District,414,381,92.03
5,Bagalkot District,339,308,90.86
6,Mysuru City,259,235,90.73
7,Dharwad District,160,143,89.38
8,Dakshina Kannada District,171,148,86.55
9,Yadgir District,265,228,86.04
10,Udupi District,289,243,84.08
11,Uttara Kannada District,344,271,78.78
12,Belagavi District,548,426,77.74
13,Kolar District,255,198,77.65
14,K.G.F District,95,73,76.84
15,Tumakuru District,766,588,76.76
16,Chamarajanagar District,272,206,75.74
17,Vijayanagara District,226,169,74.78
18,SP Railways,67,47,70.15
19,Raichur District,408,269,65.93
20,Davanagere District,454,297,65.42
21,Chitradurga District,542,336,61.99
22,Gadag District,163,101,61.96
23,Bengaluru District,802,491,61.22
24,Hassan District,589,348,59.08
25,Haveri District,347,180,51.87
26,Ramanagara District,449,210,46.77
27,Mysuru District,569,214,37.61
28,Bengaluru City,4390,1618,36.86
29,Mandya District,536,146,27.24
30,Bidar District,374,88,23.53
31,Hubballi Dharwad City,246,57,23.17
32,KODAGU(Madikeri) District,194,39,20.10
33,Mangalore COP,287,51,17.77
34,Ballari District,264,37,14.02
35,Chickballapura District,380,45,11.84
36,Kalaburagi District,314,31,9.87
37,Belagavi City,214,13,6.07
38,Shivamogga District,646,30,4.64
Total,,17621,9210,52.27
