"CASES REPORTED UNDER IPC AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC CRIMES,,SLL CRIMES,
,,"During the month
under review
(March -2024)","During the current
Year Upto the month
under review","During the month
under review
(March-2024)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,3300,9553,1966,5874
2,Mysuru City,234,655,62,183
3,Hubballi Dharwad City,139,410,102,236
4,Mangaluru City,160,505,157,423
5,Belagavi City,147,425,68,122
6,Kalaburagi City,128,401,59,159
,Central Range,,,,
1,Bengaluru Dist,616,1910,241,551
2,Ramanagara,371,967,105,218
3,Tumakuru,530,1690,185,444
4,Kolar,191,546,42,126
5,Chickballapura,224,656,109,298
6,K.G.F,59,201,43,95
,Eastern Range,,,,
1,Chitradurga,402,1089,163,353
2,Davanagere,292,838,130,320
3,Shivamogga,401,1180,193,478
4,Haveri,244,727,133,339
,Western Range,,,,
1,Dakshina Kannada,208,582,44,94
2,Udupi,271,782,81,201
3,Chikkamagaluru,221,706,102,261
4,Uttara Kannada,222,680,123,267
,Northern Range,,,,
1,Belagavi Dist,431,1211,172,381
2,Bagalkot,185,570,93,248
3,Vijayapur,252,777,161,362
4,Dharwad,106,290,70,156
5,Gadag,81,252,80,188
,North Eastern Range,,,,
1,Kalaburagi,250,685,138,275
2,Bidar,262,812,98,237
3,Yadgir,135,357,47,153
,Southern Range,,,,
1,Mysuru Dist,430,1245,137,261
2,Mandya,367,1060,107,283
3,Chamarajanagar,147,495,76,165
4,Hassan,484,1389,119,288
5,Kodagu,112,377,54,166
,Ballari Range,,,,
1,Ballari,188,560,148,354
2,Koppal,130,407,73,224
3,Raichur,230,628,146,375
4,Vijayanagara,182,454,112,235
,Karnataka Railways,80,220,18,27
,STATE,12412,36292,5957,15420
