S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,167,167,0,
2,Ballari,169,164,5,
3,Belagavi City,210,209,1,
4,Belagavi Dist,268,268,0,
5,Bengaluru City,"3,052","2,257",795,
6,Bengaluru Dist,210,91,119,
7,Bidar,224,219,5,
8,Chamarajanagar,120,120,0,
9,Chickballapura,136,136,0,
10,Chikkamagaluru,235,234,1,
11,Chitradurga,187,128,59,
12,Coastal Security Police,42,28,14,
13,Dakshina Kannada,178,173,5,
14,Davanagere,206,172,34,
15,Dharwad,117,117,0,
16,Gadag,164,160,4,
17,Hassan,190,190,0,
18,Haveri,146,146,0,
19,Hubballi Dharwad City,257,239,18,
20,K.G.F,99,86,13,
21,Kalaburagi,208,155,53,
22,Kalaburagi City,160,137,23,
23,Karnataka Railways,89,89,0,
24,Kodagu,139,104,35,
25,Kolar,176,163,13,
26,Koppal,160,160,0,
27,Mandya,231,231,0,
28,Mangaluru City,213,182,31,
29,Mysuru City,247,190,57,
30,Mysuru Dist,219,219,0,
31,Raichur,177,176,1,
32,Ramanagara,199,142,57,
33,Shivamogga,218,218,0,
34,Tumakuru,298,168,130,
35,Udupi,208,206,2,
,,,,,
