"CASES REPORTED UNDER IPC AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC CRIMES,,SLL CRIMES,
,,"During the month
under review
(March -2025)","During the current
Year Upto the month
under review","During the month
under review
(March -2025)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,3205,8351,1463,4171
2,Mysuru City,206,551,41,130
3,Hubballi Dharwad City,128,395,97,215
4,Mangaluru City,175,522,137,371
5,Belagavi City,145,438,41,130
6,Kalaburagi City,144,473,88,320
,Central Range,,,,
1,Bengaluru Dist,630,1789,164,363
2,Ramanagara,355,955,107,281
3,Tumakuru,518,1466,331,827
4,Kolar,201,547,29,119
5,Chickballapura,220,642,269,513
6,K.G.F,71,191,47,86
,Eastern Range,,,,
1,Chitradurga,330,989,273,476
2,Davanagere,301,856,182,417
3,Shivamogga,409,1332,180,426
4,Haveri,237,622,107,290
,Western Range,,,,
1,Dakshina Kannada,152,407,41,86
2,Udupi,213,658,48,141
3,Chikkamagaluru,232,682,88,267
4,Uttara Kannada,229,674,89,240
,Northern Range,,,,
1,Belagavi Dist,407,1163,204,384
2,Bagalkot,186,554,120,307
3,Vijayapur,280,769,235,488
4,Dharwad,69,252,54,121
5,Gadag,95,262,204,292
,North Eastern Range,,,,
1,Kalaburagi,246,671,112,263
2,Bidar,260,803,207,318
3,Yadgir,120,410,82,281
,Southern Range,,,,
1,Mysuru Dist,433,1281,89,212
2,Mandya,383,1128,102,290
3,Chamarajanagar,187,514,96,248
4,Hassan,437,1241,122,337
5,Kodagu,159,415,77,167
,Ballari Range,,,,
1,Ballari,153,434,178,419
2,Koppal,147,470,119,289
3,Raichur,260,726,98,315
4,Vijayanagara,210,482,67,227
,Karnataka Railways,66,175,6,18
,STATE,12199,34290,5994,14845
