S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,174,110,64,
2,Ballari,182,73,109,
3,Belagavi City,238,206,32,
4,Belagavi Dist,279,151,128,
5,Bengaluru City,"3,202","2,568",634,
6,Bengaluru Dist,225,63,162,
7,Bengaluru South,174,76,98,
8,Bidar,194,84,110,
9,Chamarajanagar,111,94,17,
10,Chickballapura,133,112,21,
11,Chikkamagaluru,193,137,56,
12,Chitradurga,181,55,126,
13,Coastal Security Police,55,9,46,
14,Dakshina Kannada,158,155,3,
15,Davanagere,177,76,101,
16,Dharwad,102,92,10,
17,Gadag,111,77,34,
18,Hassan,195,73,122,
19,Haveri,172,101,71,
20,Hubballi Dharwad City,195,109,86,
21,K.G.F,69,35,34,
22,Kalaburagi,225,98,127,
23,Kalaburagi City,189,97,92,
24,Karnataka Railways,92,70,22,
25,Kodagu,144,79,65,
26,Kolar,169,98,71,
27,Koppal,145,133,12,
28,Mandya,192,104,88,
29,Mangaluru City,213,211,2,
30,Mysuru City,211,91,120,
31,Mysuru Dist,170,80,90,
32,Raichur,188,131,57,
33,Shivamogga,189,141,48,
34,Tumakuru,256,75,181,
35,Udupi,147,123,24,
,,,,,
