Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,Trust - Religious,0,0,0,0
,Others,3,1,0,0
,Sub Total,6,1,2,1
28,CRIMINAL TRESPASS (Sec.447 to 452 IPC),,,,
,Attempt to Commit,4,1,1,1
,Club,0,0,0,0
,Hostel,2,0,2,0
,Hotel,6,2,2,2
,House,224,43,61,50
,Land,468,74,108,96
,Office,14,5,4,4
,Prohibited Places,7,1,2,0
,Religious Place,6,0,1,2
,Restricted Area,5,0,2,1
,Others,89,23,19,21
,Sub Total,825,149,202,177
29,CRUELTY BY HUSBAND (Sec. 498(A) IPC),,,,
,Husband,394,91,119,100
,Husband And Relative(S) in Law,466,99,143,80
,Relative(S) in Law,9,4,1,3
,Dowry Harassment,194,29,51,42
,Prevention of Gaming,2,0,1,0
,Sub Total,1065,223,315,225
30,DOWRY DEATHS (Sec.304(B) IPC),,,,
,By Husband,1,2,0,0
,By Husband And Relatives In Law,14,4,3,2
,By Relatives in Law,0,0,0,0
,By Burning,0,0,0,0
,By Hanging,19,8,4,6
,By Other Means,1,0,0,0
,Sub Total,35,14,7,8
31,"DEATHS DUE TO RASHNESS/NEGLIGENCE
(Sec.304(A) IPC)",,,,
,Electrocution,5,2,1,0
,Adulterated Food/Drug,0,0,0,0
,Accident by Air,0,0,0,0
,Boad Accident,0,0,0,0
,Bridge/Dam Collapse,0,0,0,0
,Building Collapse,3,0,1,1
,Caused By Animal,1,0,1,0
,Death Due to Other Cause,32,13,8,7
,Electrocution Accident,8,3,1,3
,Explosion Accident,1,1,0,1
,Fire accident,2,0,1,0
,Gas Leakage Accident,1,0,0,1
,Improper Infrastucture In Construction,24,3,5,5
,Improper Medical Treatment,3,0,1,0
,In Custody of Public Servant,0,0,0,0
,In Jail/Judicial Custody,1,0,1,0
,In Police Custody,0,0,0,0
,Industrial Accident (Factory),2,0,1,0
,Inflammable Substance,0,0,0,0
,Mine Accident,0,0,0,0
,Poisonous Substance,0,0,0,0
,Quarry Accident,1,0,1,0
,Spurious Liquor (Hooch) Accident,0,0,0,0
,Railway Accident,0,0,0,0
,Others,30,10,10,6
,Sub Total,114,32,32,24
32,"MOTOR VEHICLE ACCIDENTS FATAL
(Sec.304(A) IPC)",,,,
,National Highways,1294,333,311,322
,State Highways,1138,259,276,258
,Other Roads,1515,341,363,377
,Other Places,80,12,22,13
,Sub Total,4027,945,972,970
