Aadhaar e-Sign details of Chargesheet for the Month of September 2025,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Koppal District,151,127,84.11
2,Dharwad District,55,45,81.82
3,Yadgir District,68,52,76.47
4,Mangalore COP,83,60,72.29
5,Vijayanagara District,35,25,71.43
6,Vijayapur District,170,113,66.47
7,Dakshina Kannada District,41,27,65.85
8,Mysuru City,113,74,65.49
9,Uttara Kannada District,145,83,57.24
10,Bengaluru South District,99,55,55.56
11,Chikkamagaluru District,130,70,53.85
12,Udupi District,79,40,50.63
13,Kalaburagi City,52,23,44.23
14,SP Railways,5,2,40.00
15,Hubballi Dharwad City,48,17,35.42
16,K.G.F District,42,14,33.33
17,Belagavi District,173,47,27.17
18,Gadag District,55,14,25.45
19,Mandya District,168,42,25.00
20,Raichur District,59,14,23.73
21,Chitradurga District,86,19,22.09
22,Bengaluru City,2342,478,20.41
23,Bagalkot District,35,7,20.00
24,Kalaburagi District,70,14,20.00
25,Haveri District,43,4,9.30
26,Chamarajanagar District,87,7,8.05
27,Bengaluru District,181,14,7.73
28,Belagavi City,42,2,4.76
29,Tumakuru District,199,9,4.52
30,Hassan District,106,4,3.77
31,Mysuru District,125,3,2.40
32,Kolar District,97,2,2.06
33,Chickballapura District,113,2,1.77
34,Davanagere District,78,1,1.28
35,Ballari District,64,0,0.00
36,Bidar District,47,0,0.00
37,KODAGU(Madikeri) District,63,0,0.00
38,Shivamogga District,38,0,0.00
Total,,5587,1510,27.03
