Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 2 3,932,1255,321,1749,2070
2,State Highways,233,636,869,247,1239,1486
3,Other Roads,3 09,1291,1600,310,1914,2224
,TOTAL,865,2859,3724,878,4902,5780
