Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Belagavi Dist,606,606,100.00
2,Bagalkot,290,289,99.66
3,Dharwad,161,160,99.38
4,Ballari,237,235,99.16
5,Dakshina Kannada,151,149,98.68
6,Chamarajanagar,193,190,98.45
7,Uttara Kannada,261,256,98.08
8,Hubballi Dharwad City,247,241,97.57
9,Udupi,249,238,95.58
10,Gadag,153,144,94.12
11,Vijayapur,348,318,91.38
12,Chickballapura,326,255,78.22
13,Davanagere,407,311,76.41
14,Koppal,247,157,63.56
15,Haveri,251,126,50.20
16,Mangaluru City,233,107,45.92
17,Kodagu,179,80,44.69
18,K.G.F,100,42,42.00
19,Kalaburagi,238,99,41.60
20,Belagavi City,200,71,35.50
21,Tumakuru,630,160,25.40
22,Mysuru Dist,485,122,25.15
23,Karnataka Railways,86,21,24.42
24,Kalaburagi City,242,54,22.31
25,Bidar,311,65,20.90
26,Mandya,487,87,17.86
27,Raichur,273,48,17.58
28,Hassan,477,80,16.77
29,Chikkamagaluru,372,59,15.86
30,Mysuru City,273,41,15.02
31,Bengaluru City,4807,717,14.92
32,Shivamogga,514,67,13.04
33,Bengaluru Dist,737,86,11.67
34,Chitradurga,460,31,6.74
35,Vijayanagara,240,13,5.42
36,Kolar,267,10,3.75
37,Yadgir,140,4,2.86
38,Ramanagara,509,0,0.00
TOTAL,,16387,5739,35.02
