Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
50,"INSULTING MODESTY OF WOMEN (EVE
TEASING) (Sec.509 IPC)",,,,
,Attempt to Commit,3,0,1,0
,Office,8,0,2,1
,Public Conveyance,2,0,0,0
,Public Place,18,1,2,4
,Other Places,22,3,6,2
,Sub Total,53,4,11,7
51,"SUICIDE (Sec.305, 306, 309 IPC)",,,,
,Dowry,6,2,1,0
,Abetment of Suicide,132,24,16,23
,Other Reasons,165,29,26,28
,Attempt to Commit suicide,68,12,11,5
,Sub Total,371,67,54,56
52,UNNATURAL SEX (Sec.377 IPC),,,,
,Abetment,0,0,0,0
,Animal,2,0,0,0
,Attempt,0,0,0,0
,Major - Man,3,0,0,0
,Major - Woman,1,0,0,1
,Minor - Boy,0,1,0,0
,Minor - Girl,0,0,0,0
,Sub Total,6,1,0,1
53,"WRONGFUL RESTRAINT/CONFINEMENT
(Sec.341 to 348 IPC)",,,,
,Attempt to Commit,8,0,1,1
,To Extort Confession,1,0,0,0
,To Extort Property,11,3,1,1
,To settle Dispute,12,2,2,3
,Others,188,31,28,33
,Sub Total,220,36,32,38
54,"INFANTICIDE (Sec.315, 316 IPC)",,,,
,Male,0,0,0,0
,Female,0,0,0,0
,Sub Total,0,0,0,0
55,"OFFENCES RELATED TO MARRIAGE (Sec.493 to
498 IPC)",25,2,5,5
56,"BUYING & SELLING MINOR FOR PROSTITUTION
(Sec.372, 373 IPC)",0,0,0,0
57,"DOCUMENTS & PROPERTY MARKS (Sec.483 to
489 IPC)",,,,
,Documents,1,0,0,0
,Property,0,0,0,0
,Sub Total,1,0,0,0
58,DEFAMATION (Sec.500 to 502 IPC),,,,
,Persons,3,0,0,1
,Printed Matter,1,0,1,0
,Others,1,0,0,0
,Sub Total,5,0,1,1
59,ELECTION(Sec.171(E) to 171(1) IPC),,,,
,Assembly,1014,1,385,11
,Parliament,2,0,1,0
,Other Elected Bodies,30,9,6,0
,Sub Total,1046,10,392,11
60,"SLAVERY (Sec.370, 371, 374 IPC)",,,,
,Man,0,0,0,0
,Woman,0,1,0,0
,Boy,0,0,0,0
,Girl,0,0,0,0
,Sub Total,0,1,0,0
