"Comparitive Crime Statement 17 for the Years 2023, 2024, and 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2023,,,,,,,,,,,,,2024,,,,,,,,,,,,,2025 As on 31/05/2025,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-I (IPC/BNS Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murder,1292,60,30,1202,1,21,65,0,1004,22,47,1,42,1207,50,22,1135,0,0,20,1,1016,66,7,0,25,535,2,7,526,0,0,0,0,184,339,0,1,
Attempt to murder,2777,168,12,2597,0,17,163,10,2291,59,20,15,22,2770,116,13,2641,0,5,32,7,2082,486,8,13,8,1407,7,4,1398,0,0,0,0,245,1149,0,2,
C.H.Not Amounting to murder,82,8,1,73,0,1,4,0,57,4,1,1,5,136,7,0,129,0,4,0,0,81,30,0,1,13,53,0,0,58,0,0,0,0,13,38,0,2,
Dacoity,177,15,3,159,0,0,3,0,142,5,8,1,0,151,11,4,136,0,1,0,0,107,26,2,0,0,55,1,0,54,0,0,0,0,17,37,0,0,
Preparation And Assembly For Dacoity,137,0,0,137,0,0,3,0,133,1,0,0,0,119,0,0,119,0,0,0,0,110,9,0,0,0,31,0,0,31,0,0,0,0,15,16,0,0,
Robbery,1236,43,20,1173,0,5,22,4,856,24,258,1,3,987,30,10,947,0,2,3,4,604,209,122,3,0,233,3,3,227,0,0,0,0,41,184,2,0,
Chain Snatching,641,7,4,630,0,2,7,0,410,15,191,0,5,620,9,7,604,0,0,1,1,370,164,67,1,0,200,2,0,198,0,0,0,0,46,152,0,0,
H.B.T by day,1173,40,0,1133,0,11,23,1,482,18,596,1,1,1133,29,0,1104,0,2,9,1,398,326,367,0,1,427,2,0,425,0,0,0,0,41,371,13,0,
H.B.T by night,4865,45,2,4818,0,19,48,6,1655,96,2980,9,5,4328,34,2,4292,0,5,15,0,1322,1139,1807,4,0,1568,3,0,1567,0,0,0,0,108,1405,52,0,
House theft,2157,126,1,2030,0,7,20,7,574,26,1391,3,2,1926,82,7,1837,0,5,3,6,526,290,1005,2,0,745,11,0,734,0,0,0,0,51,629,54,0,
Snatching (Sec 304 BNS),0,0,0,0,0,0,0,0,0,0,0,0,0,238,3,5,230,0,0,0,0,75,73,82,0,0,247,0,1,245,0,0,0,0,31,207,8,0,
Ordinary Theft,22597,913,271,21413,2,618,291,2282,4390,156,13530,126,20,20167,764,320,19083,0,236,155,987,4775,2739,10112,67,12,7569,110,84,7375,0,6,0,31,753,6013,564,8,
Cattle thefts,424,13,2,409,0,7,8,36,142,2,212,1,1,506,5,2,499,0,3,0,16,218,101,160,1,0,224,3,0,221,0,0,0,0,36,175,10,0,
Receiving stolen Property,3,0,1,2,0,0,0,0,1,0,1,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
Cheating,6928,2180,132,4616,0,12,29,90,2342,1284,734,114,11,6570,1265,113,5192,0,1,5,29,1215,3437,420,84,1,2416,66,25,2322,0,0,0,0,53,2262,9,1,
Cr.Br.Trust,507,149,5,353,0,0,1,3,173,141,27,8,0,564,104,9,451,0,0,0,0,139,296,9,6,1,282,8,2,272,0,0,0,0,5,264,3,0,
C.C.Notes,27,0,0,27,0,0,0,0,9,0,18,0,0,30,0,0,30,0,0,0,0,15,7,8,0,0,14,0,0,14,0,0,0,0,2,12,0,0,
Sub Total - PART-I,45023,3767,484,40772,3,720,687,2439,14661,1853,20014,281,117,41454,2509,514,38431,0,264,243,1052,13055,9398,14176,182,61,16012,218,126,15668,0,6,0,31,1645,13256,714,14,
PART-II (IPC/BNS Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"304(A),IPC/ 106 BNS (Including Deaths due
to Rashness/Negligence (Sec 304(A)IPC/106
BNS)",12045,95,34,11916,0,458,568,10,8402,39,1068,26,1345,12019,106,14,11899,0,221,123,5,8919,884,742,11,994,5163,5,9,5149,0,5,0,0,1268,3734,31,0,
"279,337,338IPC/281,125(a),125(b)BNS",31760,228,13,31519,0,19851,341,431,9358,32,1322,90,94,31421,195,14,31212,0,12521,226,212,15634,1437,1125,23,34,13499,15,4,13480,0,631,4,12,4409,8337,85,2,
Rioting,3907,382,7,3518,0,18,339,37,3010,65,33,14,2,3462,288,4,3170,0,11,72,11,2422,624,27,2,1,1416,19,1,1396,0,0,1,0,186,1207,1,1,
Hurts,17480,1143,31,16306,0,171,2187,527,12870,117,341,52,41,17088,1127,31,15930,0,78,517,186,13040,1817,245,38,9,7024,117,6,6892,0,0,2,0,1868,5018,10,3,
AcidAttack (326(a)IPC/124(1) BNS),2,0,0,2,0,0,0,0,2,0,0,0,0,8,1,0,7,0,0,0,0,7,0,0,0,0,7,0,0,7,0,0,0,0,3,4,0,0,
Kidnapping,3639,3267,32,340,0,1,28,2,197,76,27,9,0,3976,3355,32,589,0,0,7,0,194,374,8,6,0,1848,781,13,1045,0,0,0,0,24,1023,2,4,
304(B) IPC/80 BNS,158,8,1,149,0,0,9,0,136,3,0,0,1,112,0,2,110,0,0,2,0,105,3,0,0,0,48,0,0,48,0,0,0,0,22,26,0,0,
498 (A) IPC/85 BNS,2960,317,61,2582,0,9,318,11,2138,63,1,32,10,2915,228,55,2632,0,5,106,5,2171,328,1,12,4,1203,16,13,1167,0,0,0,0,246,927,0,1,
Molestation (354 IPC/74 BNS),6489,639,31,5819,0,26,577,50,4942,109,71,29,15,6336,601,32,5703,1,13,116,23,4554,902,62,26,7,2429,52,7,2371,0,0,0,0,500,1865,2,3,
Rape,600,44,37,519,0,0,50,1,432,19,1,15,1,734,50,50,634,0,0,18,0,541,67,0,7,1,403,10,27,366,0,0,0,0,100,261,0,5,
353 IPC/132 BNS,1004,45,4,955,0,20,29,3,849,24,15,11,4,976,28,3,945,0,5,4,0,722,197,8,6,3,521,3,1,517,0,1,0,0,102,413,1,0,
Other IPC/BNS,21470,1971,84,19415,0,10305,445,400,6704,574,819,128,40,16364,1314,102,14948,0,4241,115,161,7158,2615,574,57,27,8164,126,34,8004,0,892,0,21,2244,4811,24,9,
Sub Total - PART-II,101514,8139,335,93040,0,30859,4891,1472,49040,1121,3698,406,1553,95308,7289,339,87680,1,17095,1302,603,55383,9239,2792,186,1080,41604,1143,109,40352,0,1529,7,33,10947,27538,156,27,
