S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,209,76,133,
37,Vijayanagara,157,105,52,
38,Vijayapura,203,200,3,
39,Yadgir,163,54,109,
40,Forest Cell,37,16,21,
41,CID,232,7,225,
42,ISD Bengaluru,87,15,72,
43,State INT,758,98,660,
44,APTS Yelahanka,20,8,12,
45,Battalion I - Bangalore,63,57,6,
46,Battalion II - Belgaum,40,35,5,
47,Battalion III - Bangalore,60,44,16,
48,Battalion IV - Bangalore,55,49,6,
49,Battalion IX - Bangalore,46,46,0,
50,Battalion V - Mysore,44,43,1,
51,Battalion VI - Gulbarga,42,33,9,
52,Battalion VII - Mangalore,36,36,0,
53,Battalion VIII - Shimoga,39,38,1,
54,Battalion X - Haveri,43,40,3,
55,Battalion XI - Hassan,38,35,3,
56,Battalion XII Tumakuru,48,46,2,
57,Centre for Counter Terrorism,59,24,35,
58,Chief Office,130,0,130,
59,COMMANDANT MOUNTED,KARP 22,7,15,
60,DCRE Headquarters Bengalu,ru 46,7,39,
61,DCRE HQ PS Bengaluru,5,3,2,
62,Eastern Range,3,1,2,
63,FPB Unit,11,0,11,
64,FSL Madiwala,27,0,27,
65,I.R.B. Vijayapura,46,27,19,
66,IGP Railways,2,0,2,
67,IGP TRAINING,11,0,11,
68,IIIrd BN KSISF,40,6,34,
69,IInd BN KSISF,39,13,26,
70,IRB AVATHI,1,0,1,
71,IRB Munirabad,47,42,5,
72,ISD,177,85,92,
73,Ist BN KSISF,48,0,48,
74,Kalaburgi Range,9,0,9,
,,,,,
