Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
23,"ASSAULT (Sec 356, 357 IPC)",,,,
,Attempt To Commit,3,0,0,0
,On Contractor,1,0,0,0
,On Domestic Servant,0,0,0,0
,On Labourer,1,0,0,0
,On Man (General),15,1,1,3
,On Man (SC),1,0,0,0
,On Man (ST),0,0,0,0
,"On Manager/Executive (Other Than Public
Servant)",0,0,0,0
,"On Member of Clergy (Christian, Budhist, Jain,
Sikh)",0,0,0,0
,"Member of Legislative Assembly / Council
(MLA/MLC)",0,0,0,0
,On Member of Parliament (MP),0,0,0,0
,On other Dignitaries /Public Figures,2,1,0,0
,On Press,1,0,0,0
,On Professional,1,0,0,0
,On Public Servant,1,0,0,0
,On Student,0,0,0,0
,On Teacher,0,0,0,0
,On Women (General),5,3,0,1
,On Woman (SC),0,0,0,0
,On Woman (ST),0,0,0,0
,Sub Total,31,5,1,4
24,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),,,,
,Attempt to Commit,2,2,0,1
,Caste Issue,13,1,0,1
,Communal Issue,79,13,11,14
,Linguistic Issue,0,0,0,0
,Political Issue,13,0,0,0
,Racial/Ethnic Issue,0,0,0,0
,Regional Issue,22,4,4,2
,Religious Issue,110,24,21,11
,Sectarian Issue,0,0,0,0
,Others,62,12,5,3
,Sub Total,301,56,41,32
25,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC)",,,,
,Conspiracy To Wage War,0,0,0,0
,Related to Substantive Offence,3,0,0,0
,Others,19,1,1,2
,Sub Total,22,1,1,2
26,CRIMINAL INTIMIDATION (Sec. 504 to 508 IPC),2152,219,205,221
27,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404
IPC)",,,,
,Attempt to Commit,0,0,0,0
,Bank,4,0,0,0
,Business Establishment,0,0,0,0
,Charitable Organisation,0,0,0,0
,Chitfund Organisation,0,0,0,0
,Co-operative Organisation,0,0,0,0
,Commercial Establishment/Shop,0,0,0,0
,Customs Department,0,0,0,0
,Excise Department,0,0,0,0
,Financial Institution,1,0,0,0
,Income Tax Department,0,0,0,0
,Other Government Organisation,0,0,0,0
,Postal Department,0,0,0,0
,Public Sector Undertakings,0,0,0,0
,Railway Department,0,0,0,0
,Revenue Department,0,0,0,0
,Sales Tax Department,0,0,0,0
,Social Organisation (Aided) (N),0,0,0,0
,Transport Authority,0,0,0,0
