Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,0,0,0,0
,1.2 Gang Rape,7,2,2,2
,1.3 other Cases of Rape,396,86,77,90
,Sub Total,403,88,79,92
2,Outraging modesty (Molestation) (sec.354 IPC),2429,696,487,486
3,Kidnapping & Abduction of Women: (Sec.366 IPC),51,10,10,16
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509
IPC if victim is a woman)",160,12,41,36
5,Murder for Dowry - by burning (Sec.302 IPC),1,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",3,0,0,0
7,Murder for other reasons,162,43,40,29
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",0,0,0,0
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC)",11,4,2,2
10,Attempt to Commit murder for other reasons,417,86,96,63
11,"Dowry Death-by burning
(Sec.304-B IPC)",1,0,1,0
12,Dowry Death-by other Means (Sec.304(B) IPC),47,11,15,3
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC)",1203,304,243,266
14,Abetment of Suicide (Sec.306 IPC),71,8,21,11
15,Immoral Traffic (prevention) Act.,115,30,12,20
16,"Indecent Representation of Women(Prohibition)
Act-1986",0,0,0,0
17,Pornography,1,0,0,0
18,"Offences against Public Servants (Sec.182-188-
333-353 IPC)",54,13,13,8
19,Offences related to Marriage,14,4,2,3
20,Cyber Crimes,1843,629,327,382
,Total (Item 1 to 20),6915,1930,1368,1343
