Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 4 1,900,1241,356,1660,2016
2,State Highways,274,682,956,273,1329,1602
3,Other Roads,3 94,1284,1678,395,1853,2248
,TOTAL,1 009,2866,3875,1024,4842,5866
