Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,861,63,89,76
,On Highways,2,0,0,1
,In Trains,0,0,0,0
,At Banks,2,0,1,1
,At Commercial Places / Establishments,31,2,3,0
,In Other Places,63,4,7,7
,Temple Theft,26,1,2,2
,Sub Total,985,70,102,87
,Total Burglary (Burglary Day + Burglary Night),4985,448,508,541
11,THEFT (Sec.379 to 389 IPC),,,,
,Of sand,51,4,7,6
,Attempt to commit,132,12,9,10
,At ATM,1067,65,101,112
,Of Automobiles - Of Tractors,8,0,1,1
,Communication And Elec. Wire,224,19,26,25
,Of Cattle,355,37,42,43
,Of Cycle,118,18,21,12
,Of Automobiles - Of Lorries/Trucks,127,8,12,12
,Of Automobiles - Of Buses,7,2,1,0
,Of Automobiles - Of Cars / Jeeps,248,18,29,29
,Of Automobiles - Of Two Wheelers,10346,808,1076,1145
,Of Automobies - of Three Wheelers,249,15,28,24
,Of Accessories of Motor Vehicle,226,19,33,32
,Govt. Vehicle,1581,140,185,179
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",1,0,0,1
,Of Fire Arms,7,0,1,1
,Of Explosives,2,0,0,0
,Of Cultural - Idols,5,0,0,1
,Of Cultural - Painting,4,0,0,2
,Of Cultrual - Others,232,28,22,33
,Cash,560,41,53,55
,Jewellery,1175,79,124,137
,Other Items Not Included Above,1732,173,194,253
,In Running Train,54,5,8,7
,Extortion,195,11,22,25
,House Theft,1809,110,213,215
,Servant Theft,355,32,40,32
,Sub Total,20870,1644,2248,2392
12,RIOTS (Sec.141 to 153 IPC),,,,
,Land Dispute,935,62,83,91
,Employee - Govt.,1,0,0,0
,Labour - Private Sector,2,0,0,0
,Labour - Public Sector,2,0,0,0
,Linguistic,3,0,0,1
,Political,68,0,1,0
,Regional,4,1,0,1
,Sectarian,0,0,0,0
,Students,6,0,3,1
,Tribal,1,0,0,0
,Due to Village Disputes,12,2,0,0
,Communal,4,0,0,0
,Industrial,4,1,0,0
,Caste,5,0,0,0
,Agrarian,2,0,0,0
,Others,2219,241,241,238
,Sub Total,3268,307,328,332
13,"OFFENCES AGAINST STATE (Sec. 121 to 130,
except 124(A) IPC)",0,0,0,0
14,"OFFENCES PROMOTING ENEMITY (Sec. 153(A),
154(B) & 505 IPC",84,7,12,17
15,CRIMINAL BREACH OF TRUST,407,53,52,39
