Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC)",3,0,0,3
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),9,10,2,4
4,Kidnapping & Abduction of Children,1068,321,317,386
4.1,For Ransom - of Children,3,0,0,2
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,1,0,1,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,1,1,1,0
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,0,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,0,3,0,0
,Sub Total,1073,325,319,388
5,Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,41,16,18,13
7,POCSO Act,1125,400,386,368
8,Death of Children due to miscarriage,4,4,2,2
9,Juvenile Justice Act,32,31,9,13
10,Child Labour (Pro.& Reg.) Act,20,2,6,5
11,Probation of Offenders Act,0,0,0,0
,Total (Item 1 to 11),2307,788,742,796
