Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,2 9 4,906,1200,314,1295,1609
2,State Highways,267,653,920,271,1028,1299
3,Other Roads,3 68,1233,1601,506,1444,1950
,TOTAL,929,2792,3721,1091,3767,4858
