Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs,,,,,
1,Murder,63,8,7,8
2,Rape,106,7,12,16
3,Kidnapping,121,10,18,10
4,Offences under the Protection of Civil Rights Act.,6,0,1,0
5,"Offences under the SC & ST (prevention of
Atrocities)Act 1989 (if the victim is SC)",1215,143,181,134
,Total (Item 1 to 5),1511,168,219,168
