Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC)",0,0,0,0
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),8,4,6,8
4,Kidnapping & Abduction of Children,285,227,263,285
4.1,For Ransom - of Children,1,0,1,1
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,0,0,0,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,0,0,0,0
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,0,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,2,1,3,2
,Sub Total,288,228,267,288
5,Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,15,24,16,15
7,POCSO Act,209,266,272,209
8,Death of Children due to miscarriage,0,1,0,0
9,Juvenile Justice Act,1,7,3,1
10,Child Labour (Pro.& Reg.) Act,1,10,4,1
11,Probation of Offenders Act,1,1,0,1
,Total (Item 1 to 11),523,541,568,523
