"CASES REPORTED UNDER IPC AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC CRIMES,,SLL CRIMES,
,,"During the month
under review
(February -2025)","During the current
Year Upto the month
under review","During the month
under review
(February -2025)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,2521,5354,1311,2698
2,Mysuru City,166,345,40,89
3,Hubballi Dharwad City,129,268,42,117
4,Mangaluru City,177,348,126,233
5,Belagavi City,141,292,53,90
6,Kalaburagi City,153,329,65,232
,Central Range,,,,
1,Bengaluru Dist,555,1161,97,197
2,Ramanagara,293,598,83,176
3,Tumakuru,474,955,278,489
4,Kolar,174,347,38,86
5,Chickballapura,210,423,106,243
6,K.G.F,61,120,21,39
,Eastern Range,,,,
1,Chitradurga,301,663,91,199
2,Davanagere,289,556,111,234
3,Shivamogga,444,929,137,240
4,Haveri,193,387,77,181
,Western Range,,,,
1,Dakshina Kannada,125,255,22,45
2,Udupi,232,447,37,91
3,Chikkamagaluru,214,451,92,178
4,Uttara Kannada,215,445,66,151
,Northern Range,,,,
1,Belagavi Dist,346,759,86,177
2,Bagalkot,164,369,75,186
3,Vijayapur,244,289,145,253
4,Dharwad,80,185,27,65
5,Gadag,83,168,35,88
,North Eastern Range,,,,
1,Kalaburagi,216,426,65,150
2,Bidar,272,544,52,110
3,Yadgir,154,292,75,194
,Southern Range,,,,
1,Mysuru Dist,413,848,59,123
2,Mandya,369,750,77,183
3,Chamarajanagar,177,330,58,149
4,Hassan,385,805,91,214
5,Kodagu,114,256,55,90
,Ballari Range,,,,
1,Ballari,145,283,127,239
2,Koppal,155,322,85,171
3,Raichur,208,467,95,216
4,Vijayanagara,144,275,83,157
,Karnataka Railways,54,110,5,11
,STATE,10790,22151,4188,8784
