Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,784,68,113,88
,On Highways,1,0,0,0
,In Trains,0,0,0,0
,At Banks,1,0,0,1
,At Commercial Places / Establishments,31,2,2,3
,In Other Places,56,7,16,7
,Temple Theft,25,2,5,2
,Sub Total,898,79,136,101
,Total Burglary (Burglary Day + Burglary Night),4447,455,640,510
11,THEFT (Sec.379 to 389 IPC),,,,
,Of sand,45,3,6,7
,Attempt to commit,970,55,142,102
,At ATM,7,1,2,1
,Of Automobiles - Of Tractors,122,17,14,9
,Communication And Elec. Wire,199,20,34,26
,Of Cattle,311,33,65,41
,Of Cycle,106,6,20,21
,Of Automobiles - Of Lorries/Trucks,115,10,17,12
,Of Automobiles - Of Buses,7,2,0,1
,Of Automobiles - Of Cars / Jeeps,219,22,34,29
,Of Automobiles - Of Two Wheelers,9202,861,1392,1075
,Of Automobies - of Three Wheelers,224,31,47,28
,Of Accessories of Motor Vehicle,195,29,28,34
,Govt. Vehicle,1401,167,244,185
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",0,0,0,0
,Of Fire Arms,6,0,0,1
,Of Explosives,2,0,1,0
,Of Cultural - Idols,4,1,1,0
,Of Cultural - Painting,2,0,1,0
,Of Cultrual - Others,200,13,41,22
,Cash,505,33,82,53
,Jewellery,1038,48,142,124
,Other Items Not Included Above,1477,131,265,193
,In Running Train,47,5,2,8
,Extortion,171,18,20,23
,House Theft,1593,107,216,213
,Servant Theft,322,34,52,40
,Sub Total,18490,1647,2868,2248
12,RIOTS (Sec.141 to 153 IPC),,,,
,Land Dispute,844,81,87,85
,Employee - Govt.,1,1,0,0
,Labour - Private Sector,2,2,0,0
,Labour - Public Sector,2,2,0,0
,Linguistic,2,0,0,0
,Political,68,3,3,1
,Regional,3,1,0,0
,Sectarian,0,0,0,0
,Students,5,0,0,3
,Tribal,1,0,0,0
,Due to Village Disputes,12,1,1,0
,Communal,4,0,0,0
,Industrial,4,0,1,0
,Caste,5,0,1,0
,Agrarian,2,1,0,0
,Others,1981,194,240,243
,Sub Total,2936,286,333,332
13,"OFFENCES AGAINST STATE (Sec. 121 to 130,
except 124(A) IPC)",0,0,0,0
14,"OFFENCES PROMOTING ENEMITY (Sec. 153(A),
154(B) & 505 IPC",67,4,18,12
15,CRIMINAL BREACH OF TRUST,368,28,37,51
