S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,223,140,83,
37,Vijayanagara,145,145,0,
38,Vijayapur,188,188,0,
39,Yadgir,152,44,108,
40,Forest Cell,40,13,27,
41,CID,280,17,263,
42,ISD Bengaluru,91,39,52,
43,State INT,912,207,705,
44,APTS Yelahanka,19,1,18,
45,Battalion I - Bangalore,65,59,6,
46,Battalion II - Belgaum,39,39,0,
47,Battalion III - Bangalore,63,57,6,
48,Battalion IV - Bangalore,54,50,4,
49,Battalion IX - Bangalore,45,42,3,
50,Battalion V - Mysore,44,41,3,
51,Battalion VI - Gulbarga,41,31,10,
52,Battalion VII - Mangalore,38,35,3,
53,Battalion VIII - Shimoga,42,40,2,
54,Battalion X - Haveri,47,44,3,
55,Battalion XI - Hassan,53,42,11,
56,Battalion XII Tumakuru,48,46,2,
57,Central Range,4,0,4,
58,Centre for Counter Terrorism,65,3,62,
59,Chief Office,138,0,138,
60,COMMANDANT MOUNTED,KARP 27,13,14,
61,Eastern Range,4,1,3,
62,FPB Unit,24,0,24,
63,FSL Madiwala,20,0,20,
64,I.R.B. Vijayapura,49,37,12,
65,IGP TRAINING,11,0,11,
66,IIIrd BN KSISF,38,10,28,
67,IInd BN KSISF,39,25,14,
68,IRB Munirabad,49,44,5,
69,ISD,202,86,116,
70,Ist BN KSISF,58,24,34,
71,Kalaburgi Range,7,1,6,
72,KPA Mysore,35,13,22,
73,KSPTS Channapatna,23,3,20,
74,KSPTS Khanapur,19,1,18,
,,,,,
