"CASES REPORTED UNDER IPC AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC CRIMES,,SLL CRIMES,
,,"During the month
under review
(April -2024)","During the current
Year Upto the month
under review","During the month
under review
(April-2024)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,2824,12371,1671,7552
2,Mysuru City,196,850,60,244
3,Hubballi Dharwad City,120,528,88,326
4,Mangaluru City,170,675,93,516
5,Belagavi City,150,575,38,160
6,Kalaburagi City,138,539,26,185
,Central Range,,,,
1,Bengaluru Dist,594,2504,147,698
2,Ramanagara,385,1351,76,295
3,Tumakuru,543,2230,179,626
4,Kolar,188,725,51,186
5,Chickballapura,240,896,91,389
6,K.G.F,51,251,67,164
,Eastern Range,,,,
1,Chitradurga,421,1508,239,594
2,Davanagere,281,1117,125,447
3,Shivamogga,413,1590,133,164
4,Haveri,179,904,84,425
,Western Range,,,,
1,Dakshina Kannada,160,742,32,126
2,Udupi,239,1019,35,238
3,Chikkamagaluru,274,980,80,341
4,Uttara Kannada,210,890,56,323
,Northern Range,,,,
1,Belagavi Dist,371,1581,138,520
2,Bagalkot,167,736,67,316
3,Vijayapur,218,992,87,452
4,Dharwad,101,390,54,211
5,Gadag,95,348,74,261
,North Eastern Range,,,,
1,Kalaburagi,217,902,101,376
2,Bidar,251,1061,96,336
3,Yadgir,138,494,50,204
,Southern Range,,,,
1,Mysuru Dist,414,1658,57,319
2,Mandya,383,1438,75,363
3,Chamarajanagar,164,657,80,247
4,Hassan,461,1849,141,430
5,Kodagu,150,527,33,199
,Ballari Range,,,,
1,Ballari,160,719,126,481
2,Koppal,141,548,79,303
3,Raichur,201,828,156,532
4,Vijayanagara,132,584,91,328
,Karnataka Railways,81,301,25,152
,STATE,11621,47858,4901,20029
