S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KPA Mysore,39,2,37,
76,KSPTS Channapatna,23,0,23,
77,KSPTS Khanapur,20,6,14,
78,KSRP PTS BELAGAVI,17,5,12,
79,KSRP Training Munirabad,16,14,2,
80,PDMS Yelahanka,23,0,23,
81,PTC Gulbarga,28,2,26,
82,PTS Aimangala,20,1,19,
83,PTS Dharwad,18,1,17,
84,PTS Hassan,19,0,19,
85,PTS Kaduru,17,1,16,
86,PTS Mysuru,21,4,17,
87,PTS Thanisandra,20,0,20,
88,RFSL Ballari,7,4,3,
89,RFSL Belgaum,10,0,10,
90,RFSL Davanagere,8,1,7,
91,RFSL Gulbarga,7,3,4,
92,RFSL Hubballi,6,0,6,
93,RFSL Mangalore,10,2,8,
94,RFSL Mysore,8,0,8,
95,SCRB,38,14,24,
96,Southern Range,5,0,5,
97,SP DCRE Bengaluru City,1,0,1,
98,SP DCRE Central Range,3,1,2,
99,SP DCRE Eastern Range,2,0,2,
100,SP DCRE Northern Range,2,1,1,
101,SP DCRE Southern Range,2,0,2,
102,SP DCRE Western Range,2,1,1,
103,Special Task Force,2,0,2,
104,State Wireless,82,13,69,
105,TTI Bangalore,3,0,3,
106,Western Range,2,0,2,
,Grand Total,12640,4335,8305,
