"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,,,
Unitwise - Month wise Report on Receipts & Disposals - August - 2025,,,,,,
"Police Department has implemented 23 SAKALA Services through PoliceIT Application. The district wise details
of received, disposed and overdue status of services for August 2025 as on 31.08.2025 are as under.",,,,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 31.08.2025",,
1,Bengaluru City,38819,39446,175,,
2,Belagavi City,4088,4286,76,,
3,Hubli-Dharwad City,2038,2176,45,,
4,Mysore City,3192,3541,21,,
5,Mangalore City,4026,4474,13,,
6,Bagalkot,1934,1760,17,,
7,Ballari,1349,1505,21,,
8,Belagavi,1255,1358,95,,
9,Bengaluru Rural,2902,2942,35,,
10,Bidar,1150,1233,25,,
11,Chamarajanagar,1791,1727,11,,
12,Chikkaballapura,2352,2316,21,,
13,Chikkamagaluru,2034,1998,4,,
14,Chitradurga,2194,1916,18,,
15,Dakshina Kannada,838,815,42,EEExxxppitoo,rrtt ttoo PExDcFel
16,Davanagere,1992,2046,17,,
17,Dharwad,870,858,22,,
18,Gadag,774,828,7,,
19,Hassan,2646,2878,3,,
20,Haveri,1265,1452,33,,
21,Kalaburagi,1664,1719,24,,
22,Kodagu,923,923,18,,
23,Kolar,1256,1357,6,,
24,KGF,284,293,1,,
25,Koppal,871,911,0,,
26,Mandya,2720,2934,35,,
27,Mysuru,2344,2252,21,,
28,Raichur,1005,1121,29,,
29,Ramanagara,2437,2521,6,,
30,Shivamogga,2496,2688,24,,
31,Tumakuru,3377,3529,18,,
32,Udupi,2176,2204,0,,
33,Uttara Kannada,2690,2757,61,,
34,VijayaNagara,807,845,11,EEExxxppitoo,rrtt ttoo PExDcFel
35,Vijayapura,2188,2237,16,,
36,Yadgir,553,584,11,,
,Total,105300,108430,982,,
