S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,223,164,59,
37,Vijayanagara,145,144,1,
38,Vijayapur,187,186,1,
39,Yadgir,152,32,120,
40,Forest Cell,39,15,24,
41,CID,281,50,231,
42,ISD Bengaluru,91,58,33,
43,State INT,912,394,518,
44,APTS Yelahanka,19,11,8,
45,Battalion I - Bangalore,65,61,4,
46,Battalion II - Belgaum,41,2,39,
47,Battalion III - Bangalore,63,56,7,
48,Battalion IV - Bangalore,54,27,27,
49,Battalion IX - Bangalore,45,42,3,
50,Battalion V - Mysore,44,43,1,
51,Battalion VI - Gulbarga,41,40,1,
52,Battalion VII - Mangalore,38,37,1,
53,Battalion VIII - Shimoga,43,42,1,
54,Battalion X - Haveri,47,44,3,
55,Battalion XI - Hassan,53,42,11,
56,Battalion XII Tumakuru,48,42,6,
57,Central Range,4,1,3,
58,Centre for Counter Terrorism,65,5,60,
59,Chief Office,143,1,142,
60,COMMANDANT MOUNTED,KARP 27,13,14,
61,Eastern Range,4,3,1,
62,FPB Unit,24,0,24,
63,FSL Madiwala,20,0,20,
64,I.R.B. Vijayapura,49,45,4,
65,IGP TRAINING,11,0,11,
66,IIIrd BN KSISF,38,4,34,
67,IInd BN KSISF,39,30,9,
68,IRB Munirabad,49,44,5,
69,ISD,204,139,65,
70,Ist BN KSISF,56,39,17,
71,Kalaburgi Range,7,2,5,
72,KPA Mysore,36,21,15,
73,KSPTS Channapatna,23,1,22,
74,KSPTS Khanapur,19,4,15,
,,,,,
