DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF NOVEMBER - 2025 (AS ON 01/12/2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
ag
B","ari
all
B","City
avi
ag
el
B","Dist
avi
ag
el
B","city
u
ur
al
ng
e
B","District
u
ur
al
ng
e
B","h
ut
o
S
u
ur
al
ng
e
B","ar
d
Bi","ar
ag
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
ag
m
a
kk
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
ag
n
a
av
D","d
a
w
ar
h
D","ag
d
a
G","n
a
ass
H","eri
av
H","d
a
w
ar
D h City
alli
b
b
u
H","G.F
K.","agi
ur
b
a
al
K","City
agi
ur
b
a
al
K","ays
w
ail
R
a
k
a
at
n
ar
K","u
ag
d
o
K","ar
ol
K","al
p
p
o
K","a
dy
n
a
M","City
u
or
o
al
ng
a
M","City
u
ur
Mys","District
u
ur
Mys","ur
h
aic
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
ag
n
a
ay
Vij","ur
p
a
ay
Vij","dgir
a
Y","al
ot
T"
1,MURDER,2,1,0,3,19,8,4,1,3,3,6,0,0,0,1,1,4,2,2,2,3,3,0,2,4,0,2,1,1,4,4,1,3,0,1,1,5,2,99
2,DACOITY,0,1,0,0,5,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,18
3,ROBBERY,2,1,0,2,35,5,1,1,1,1,1,0,0,3,1,0,1,2,0,0,0,1,1,1,0,0,4,0,1,3,0,5,4,0,0,0,2,0,79
3a,CHAIN SNATCHING,2,1,0,4,3,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,1,0,1,0,1,2,0,1,1,0,1,0,2,0,30
4a,BURGLARY - DAY,3,1,1,2,29,7,1,0,1,2,6,2,3,4,2,3,6,2,0,0,3,5,0,2,2,0,5,0,1,4,1,3,5,0,2,3,1,1,113
4b,BURGLARY - NIGHT,7,6,3,12,55,19,7,4,7,3,4,7,1,13,3,2,7,2,6,3,10,6,0,3,7,2,10,3,1,18,5,7,13,2,6,5,7,8,284
5,THEFT,18,30,24,34,655,106,37,22,4,25,23,28,18,48,5,17,31,25,14,12,34,21,30,7,26,15,30,26,21,25,59,43,54,20,16,13,27,17,1660
5a,SNATCHING,0,0,1,0,13,3,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,29
6,RIOTS,8,6,1,27,3,5,0,7,6,13,3,10,0,13,3,3,5,28,1,2,7,2,2,0,19,2,2,0,1,6,17,17,4,1,3,5,4,8,244
7,CASES OF HURT,15,17,11,29,295,34,27,50,31,29,57,60,18,35,7,5,67,23,12,14,37,14,0,31,31,9,50,6,23,52,23,72,57,15,24,7,23,12,1322
8,Spl & Local laws,66,121,72,208,1615,86,65,91,51,91,166,127,47,72,37,58,78,84,76,14,98,61,20,32,34,111,67,130,78,77,109,235,146,41,217,218,167,63,5129
