S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,212,155,57,
37,Vijayanagara,145,145,0,
38,Vijayapur,186,186,0,
39,Yadgir,152,67,85,
40,Forest Cell,40,15,25,
41,CID,280,40,240,
42,ISD Bengaluru,91,40,51,
43,State INT,911,363,548,
44,APTS Yelahanka,19,0,19,
45,Battalion I - Bangalore,64,60,4,
46,Battalion II - Belgaum,39,39,0,
47,Battalion III - Bangalore,63,53,10,
48,Battalion IV - Bangalore,55,45,10,
49,Battalion IX - Bangalore,45,45,0,
50,Battalion V - Mysore,44,43,1,
51,Battalion VI - Gulbarga,41,37,4,
52,Battalion VII - Mangalore,38,35,3,
53,Battalion VIII - Shimoga,42,41,1,
54,Battalion X - Haveri,47,44,3,
55,Battalion XI - Hassan,53,42,11,
56,Battalion XII Tumakuru,48,46,2,
57,Central Range,4,1,3,
58,Centre for Counter Terrorism,65,23,42,
59,Chief Office,140,0,140,
60,COMMANDANT MOUNTED,KARP 27,20,7,
61,Eastern Range,1,1,0,
62,FPB Unit,24,2,22,
63,FSL Madiwala,20,3,17,
64,I.R.B. Vijayapura,49,38,11,
65,IGP TRAINING,11,1,10,
66,IIIrd BN KSISF,38,14,24,
67,IInd BN KSISF,38,35,3,
68,IRB Munirabad,49,42,7,
69,ISD,202,124,78,
70,Ist BN KSISF,58,11,47,
71,Kalaburgi Range,7,2,5,
72,KPA Mysore,35,27,8,
73,KSPTS Channapatna,23,0,23,
74,KSPTS Khanapur,19,10,9,
,,,,,
