S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSRP PTS BELAGAVI,18,18,0,
76,KSRP Training Munirabad,14,11,3,
77,PDMS Yelahanka,32,10,22,
78,PTC Gulbarga,44,8,36,
79,PTS Aimangala,18,4,14,
80,PTS Dharwad,21,19,2,
81,PTS Hassan,20,0,20,
82,PTS Kaduru,16,0,16,
83,PTS Mysuru,21,21,0,
84,PTS Thanisandra,22,0,22,
85,RFSL Ballari,7,2,5,
86,RFSL Belgaum,10,0,10,
87,RFSL Davanagere,9,4,5,
88,RFSL Gulbarga,7,1,6,
89,RFSL Hubballi,5,0,5,
90,RFSL Mangalore,12,4,8,
91,RFSL Mysore,8,1,7,
92,SCRB,42,19,23,
93,Southern Range,8,5,3,
94,Special Task Force,8,0,8,
95,State Wireless,95,34,61,
96,TTI Bangalore,6,5,1,
97,Western Range,3,1,2,
,Grand Total,13517,7889,5628,
