Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,830,75,90,83
,On Highways,0,1,0,0
,In Trains,1,0,0,0
,At Banks,2,1,0,0
,At Commercial Places / Establishments,28,0,1,0
,In Other Places,59,6,2,7
,Temple Theft,20,2,1,7
,Sub Total,940,85,94,97
,Total Burglary (Burglary Day + Burglary Night),4589,545,377,484
11,THEFT (Sec.379 to 389 IPC),,,,
,Of Sand,1051,112,65,69
,Government Office,6,0,3,3
,Of Automobiles - Of Tractors,69,10,5,10
,At ATM,11,2,2,1
,Of Mines,21,0,5,2
,In Running Bus,46,0,7,17
,Of Snatching,149,0,37,41
,Attempt to commit,42,6,5,1
,Communication And Elec. Wire,223,25,27,28
,Of Cattle,437,45,37,50
,Of Cycle,85,11,4,5
,Of Automobiles - Of Lorries/Trucks,76,12,7,4
,Of Automobiles - Of Buses,8,0,1,0
,Of Automobiles - Of Cars / Jeeps,205,29,18,20
,Of Automobiles - Of Two Wheelers,9298,1150,821,787
,Of Automobies - of Three Wheelers,249,24,28,18
,Of Accessories of Motor Vehicle,274,27,28,25
,Govt. Vehicle,3,1,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",1117,179,89,81
,Of Fire Arms,9,1,1,4
,Of Explosives,0,0,0,0
,Of Cultural - Idols,5,0,1,0
,Of Cultural - Painting,1,2,0,0
,Of Cultrual - Others,199,32,17,15
,Cash,486,55,48,43
,Jewellery,1354,137,123,149
,Other Items Not Included Above,1529,249,129,139
,In Running Train,42,7,7,9
,Extortion,235,24,30,30
,House Theft,1631,216,163,171
,Servant Theft,435,31,48,47
,Sub Total,19296,2387,1756,1769
12,RIOTS (Sec.141 to 153 IPC),,,,
,Land Dispute,821,89,43,50
,Employee - Govt.,1,0,0,1
,Labour - Private Sector,2,0,0,0
,Labour - Public Sector,1,0,0,0
,Linguistic,2,1,0,0
,Political,15,0,2,1
,Regional,5,2,0,0
,Sectarian,0,0,0,0
,Students,6,1,0,1
,Tribal,0,0,0,0
,Due to Village Disputes,23,0,2,2
,Communal,21,0,18,1
,Industrial,3,0,0,0
,Caste,5,0,0,0
,Agrarian,1,0,0,0
,Others,2052,246,215,145
,Sub Total,2958,339,280,201
