"CASES REPORTED UNDER IPC AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC CRIMES,,SLL CRIMES,
,,"During the month
under review
(Jan -2024)","During the current
Year Upto the month
under review","During the month
under review
(Jan-2024)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,3003,3003,1862,1862
2,Mysuru City,214,214,73,73
3,Hubballi Dharwad City,141,141,60,60
4,Mangaluru City,168,168,150,150
5,Belagavi City,156,156,31,31
6,Kalaburagi City,125,125,49,49
,Central Range,,,,
1,Bengaluru Dist,646,646,148,148
2,Ramanagara,289,289,68,68
3,Tumakuru,606,606,127,127
4,Kolar,189,189,40,40
5,Chickballapura,200,200,102,102
6,K.G.F,68,68,24,24
,Eastern Range,,,,
1,Chitradurga,368,368,100,100
2,Davanagere,265,265,86,86
3,Shivamogga,395,395,123,123
4,Haveri,245,245,69,69
,Western Range,,,,
1,Dakshina Kannada,190,190,28,28
2,Udupi,265,265,53,53
3,Chikkamagaluru,247,247,77,77
4,Uttara Kannada,235,235,67,67
,Northern Range,,,,
1,Belagavi Dist,369,369,109,109
2,Bagalkot,174,174,84,84
3,Vijayapur,230,230,89,89
4,Dharwad,101,101,48,48
5,Gadag,92,92,44,44
,North Eastern Range,,,,
1,Kalaburagi,223,223,83,83
2,Bidar,272,272,73,73
3,Yadgir,113,113,39,39
,Southern Range,,,,
1,Mysuru Dist,410,410,79,79
2,Mandya,339,339,96,96
3,Chamarajanagar,173,173,40,40
4,Hassan,425,425,86,86
5,Kodagu,114,114,47,47
,Ballari Range,,,,
1,Ballari,172,172,113,113
2,Koppal,135,135,70,70
3,Raichur,176,176,145,145
4,Vijayanagara,115,115,72,72
,Karnataka Railways,73,73,5,5
,STATE,11721,11721,4659,4659
