Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Bagalkot,267,267,100.00
2,Haveri,313,313,100.00
3,Vijayapur,427,427,100.00
4,Dakshina Kannada,201,191,95.02
5,Chamarajanagar,201,186,92.54
6,Hubballi Dharwad City,243,213,87.65
7,Belagavi Dist,608,529,87.01
8,Uttara Kannada,290,239,82.41
9,Ballari,310,249,80.32
10,Udupi,310,248,80.00
11,Gadag,191,152,79.58
12,Dharwad,162,119,73.46
13,Koppal,199,136,68.34
14,Chickballapura,345,224,64.93
15,Davanagere,495,274,55.35
16,Mangaluru City,254,88,34.65
17,Tumakuru,705,234,33.19
18,Karnataka Railways,92,24,26.09
19,Kalaburagi City,239,55,23.01
20,Belagavi City,215,47,21.86
21,Mysuru Dist,493,75,15.21
22,Mysuru City,339,45,13.27
23,Mandya,542,71,13.10
24,Kodagu,195,25,12.82
25,Hassan,569,71,12.48
26,Raichur,322,36,11.18
27,Bengaluru City,5146,475,9.23
28,Kalaburagi,323,27,8.36
29,Bidar,342,24,7.02
30,Shivamogga,567,29,5.11
31,Chikkamagaluru,386,18,4.66
32,Vijayanagara,262,6,2.29
33,Bengaluru Dist,754,14,1.86
34,K.G.F,134,2,1.49
35,Yadgir,209,1,0.48
36,Chitradurga,536,0,0.00
37,Kolar,276,0,0.00
38,Ramanagara,496,0,0.00
TOTAL,,17958,5134,28.59
