S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,230,125,105,
37,Vijayanagara,140,140,0,
38,Vijayapur,238,238,0,
39,Yadgir,148,23,125,
40,Forest Cell,47,7,40,
41,CID,270,14,256,
42,ISD Bengaluru,87,28,59,
43,State INT,885,210,675,
44,APTS Yelahanka,19,2,17,
45,Ballari Range,1,0,1,
46,Battalion I - Bangalore,65,1,64,
47,Battalion II - Belgaum,41,30,11,
48,Battalion III - Bangalore,63,39,24,
49,Battalion IV - Bangalore,60,13,47,
50,Battalion IX - Bangalore,40,34,6,
51,Battalion V - Mysore,47,43,4,
52,Battalion VI - Gulbarga,41,27,14,
53,Battalion VII - Mangalore,39,36,3,
54,Battalion VIII - Shimoga,46,36,10,
55,Battalion X - Haveri,48,23,25,
56,Battalion XI - Hassan,52,41,11,
57,Battalion XII Tumakuru,48,2,46,
58,Central Range,6,0,6,
59,Centre for Counter Terrorism,59,1,58,
60,Chief Office,139,0,139,
61,COMMANDANT MOUNTED,KARP 25,8,17,
62,Eastern Range,4,3,1,
63,FPB Unit,24,2,22,
64,FSL Madiwala,20,0,20,
65,I.R.B. Vijayapura,47,24,23,
66,IGP Railways,3,0,3,
67,IGP TRAINING,12,0,12,
68,IIIrd BN KSISF,39,17,22,
69,IInd BN KSISF,38,6,32,
70,IRB Munirabad,52,40,12,
71,ISD,202,56,146,
72,Ist BN KSISF,55,14,41,
73,Kalaburgi Range,8,2,6,
74,KPA Mysore,34,7,27,
,,,,,
