Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC/ 91, 92 BNS)",3,0,3,0
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),13,6,6,4
4,Kidnapping & Abduction of Children,1409,369,329,420
4.1,For Ransom - of Children,2,0,1,0
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,1,0,0,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,1,0,0,0
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,0,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,0,1,0,0
,Sub Total,1413,370,330,420
5,"Selling of girls for Prostitution (Sec.372, 373 IPC/
98, 99 BNS)",0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,54,19,12,13
7,POCSO Act,1596,382,422,394
8,Death of Children due to miscarriage,6,3,2,2
9,Juvenile Justice Act,39,8,13,7
10,Child Labour (Pro.& Reg.) Act,23,2,5,3
11,Probation of Offenders Act,0,0,0,0
,Total (Item 1 to 11),3147,790,793,843
