Name of the unit,No. of cases,Name of the unit,No. of cases
Mysore District,2,Bengaluru City,1
Kalaburgi City,1,Bagalkot District,1
Belagavi District,1,Chikkamagalur District,1
Chitradurga District,1,Mandya District,1
