Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,5,Shivamogga District,2
Chikkamagalur District,1,Davanagere District,1
Hassan District,1,Haveri District,1
Kodagu District,1,Mysore District,1
Tumakuru District,1,,
